"Username","Stimuli.Answer","Direction","Encoding","scored"
"M20304792_AEM","Computer","Unrelated","Read",0
"20302746","Computer","Unrelated","Read",1
"m20335829","Computer","Unrelated","Read",1
"20327605","Computer","Unrelated","Read",1
"20322440","Computer","Unrelated","Read",0
"M20324255","Computer","Unrelated","Read",1
"M20335574","Computer","Unrelated","Read",1
"20321578","Computer","Unrelated","Read",1
"m20319677","Computer","Unrelated","Read",0
"M20317208","Computer","Unrelated","Read",1
"M20322809","Computer","Unrelated","Read",0
"M20316111_ARD","Computer","Unrelated","Read",1
"M2033128","Computer","Unrelated","Read",0
"M20301992","Computer","Unrelated","Read",0
"M20321393","Computer","Unrelated","Read",1
"M20320940","Cow","Related","Read",1
"M20301992","Cow","Related","Read",1
"M20324255","Cow","Related","Read",1
"M20327473","Cow","Related","Read",0
"M20311413","Cow","Related","Read",0
"M20323930","Cow","Related","Read",1
"m20335829","Cow","Related","Read",1
"20322440","Cow","Related","Read",0
"M2033128","Cow","Related","Read",1
"m20319677","Cow","Related","Read",1
"M20322809","Cow","Related","Read",1
"M20316111_ARD","Cow","Related","Read",0
"M20317208","Cow","Related","Read",1
"20327605","Cow","Related","Read",1
"M20304792_AEM","Cow","Related","Read",1
"20321578","Cow","Related","Read",0
"M20321393","Cow","Related","Read",1
"M20335574","Cow","Related","Read",0
"20302746","Cow","Related","Read",1
"M20323930","Cruise","Unrelated","Read",1
"M20311413","Cruise","Unrelated","Read",0
"M20322809","Cruise","Unrelated","Read",1
"20327605","Cruise","Unrelated","Read",0
"M20304792_AEM","Cruise","Unrelated","Read",0
"20302746","Cruise","Unrelated","Read",1
"M20320940","Cruise","Unrelated","Read",1
"m20335829","Cruise","Unrelated","Read",1
"m20319677","Cruise","Unrelated","Read",1
"M20317208","Cruise","Unrelated","Read",1
"20321578","Cruise","Unrelated","Read",1
"M20324255","Cruise","Unrelated","Read",1
"M20301992","Cruise","Unrelated","Read",1
"20322440","Cruise","Unrelated","Read",1
"M20321393","Cruise","Unrelated","Read",1
"M20335574","Cruise","Unrelated","Read",1
"M2033128","Cruise","Unrelated","Read",0
"M20316111_ARD","Cruise","Unrelated","Read",0
"M20327473","Cruise","Unrelated","Read",0
"M20322809","Dollar","Unrelated","Read",0
"M20320940","Dollar","Unrelated","Read",0
"20321578","Dollar","Unrelated","Read",1
"M20317208","Dollar","Unrelated","Read",1
"M20304792_AEM","Dollar","Unrelated","Read",0
"M20316111_ARD","Dollar","Unrelated","Read",0
"M2033128","Dollar","Unrelated","Read",0
"M20327473","Dollar","Unrelated","Read",1
"20322440","Dollar","Unrelated","Read",0
"M20323930","Dollar","Unrelated","Read",1
"M20335574","Dollar","Unrelated","Read",1
"M20311413","Dollar","Unrelated","Read",1
"m20335829","Dollar","Unrelated","Read",1
"M20301992","Dollar","Unrelated","Read",1
"20302746","Dollar","Unrelated","Read",1
"m20319677","Dollar","Unrelated","Read",1
"M20321393","Dollar","Unrelated","Read",1
"20327605","Dollar","Unrelated","Read",1
"M20324255","Dollar","Unrelated","Read",0
"M20327473","Donkey","Related","Read",1
"M20304792_AEM","Donkey","Related","Read",1
"20327605","Donkey","Related","Read",1
"M20324255","Donkey","Related","Read",1
"M20316111_ARD","Donkey","Related","Read",0
"M20322809","Donkey","Related","Read",1
"M20320940","Donkey","Related","Read",0
"M20323930","Donkey","Related","Read",1
"m20335829","Donkey","Related","Read",1
"M20311413","Donkey","Related","Read",1
"20302746","Donkey","Related","Read",0
"20321578","Donkey","Related","Read",1
"M20321393","Donkey","Related","Read",0
"M20301992","Donkey","Related","Read",1
"M20335574","Donkey","Related","Read",1
"m20319677","Donkey","Related","Read",0
"M2033128","Donkey","Related","Read",1
"20322440","Donkey","Related","Read",0
"M20317208","Donkey","Related","Read",1
"M20311413","Elephant","Related","Read",0
"M20321393","Elephant","Related","Read",1
"M20317208","Elephant","Related","Read",1
"20321578","Elephant","Related","Read",1
"M20322809","Elephant","Related","Read",1
"M20327473","Elephant","Related","Read",1
"20302746","Elephant","Related","Read",1
"M20323930","Elephant","Related","Read",1
"M20301992","Elephant","Related","Read",1
"M2033128","Elephant","Related","Read",1
"M20320940","Elephant","Related","Read",0
"20322440","Elephant","Related","Read",1
"20327605","Elephant","Related","Read",1
"m20319677","Elephant","Related","Read",1
"M20324255","Elephant","Related","Read",1
"m20335829","Elephant","Related","Read",1
"M20304792_AEM","Elephant","Related","Read",1
"M20335574","Elephant","Related","Read",1
"M20316111_ARD","Elephant","Related","Read",1
"M20324255","Eye","Unrelated","Read",1
"M20323930","Eye","Unrelated","Read",1
"20321578","Eye","Unrelated","Read",1
"M2033128","Eye","Unrelated","Read",1
"20302746","Eye","Unrelated","Read",1
"20327605","Eye","Unrelated","Read",1
"M20304792_AEM","Eye","Unrelated","Read",1
"M20320940","Eye","Unrelated","Read",0
"20322440","Eye","Unrelated","Read",1
"M20322809","Eye","Unrelated","Read",1
"M20311413","Eye","Unrelated","Read",0
"M20301992","Eye","Unrelated","Read",0
"M20316111_ARD","Eye","Unrelated","Read",1
"m20335829","Eye","Unrelated","Read",0
"m20319677","Eye","Unrelated","Read",0
"M20335574","Eye","Unrelated","Read",0
"M20321393","Eye","Unrelated","Read",1
"M20317208","Eye","Unrelated","Read",1
"M20327473","Eye","Unrelated","Read",1
"M20335574","Fly","Unrelated","Read",1
"m20335829","Fly","Unrelated","Read",1
"M20321393","Fly","Unrelated","Read",1
"m20319677","Fly","Unrelated","Read",0
"M20320940","Fly","Unrelated","Read",0
"M20317208","Fly","Unrelated","Read",1
"20327605","Fly","Unrelated","Read",1
"20322440","Fly","Unrelated","Read",1
"M20311413","Fly","Unrelated","Read",1
"M20304792_AEM","Fly","Unrelated","Read",0
"20302746","Fly","Unrelated","Read",1
"M20324255","Fly","Unrelated","Read",1
"M2033128","Fly","Unrelated","Read",1
"M20322809","Fly","Unrelated","Read",0
"M20323930","Fly","Unrelated","Read",1
"20321578","Fly","Unrelated","Read",1
"M20327473","Fly","Unrelated","Read",0
"M20301992","Fly","Unrelated","Read",0
"M20316111_ARD","Fly","Unrelated","Read",1
"20327605","Girraffe","Related","Read",1
"20321578","Girraffe","Related","Read",1
"M20317208","Girraffe","Related","Read",1
"M20321393","Girraffe","Related","Read",1
"m20335829","Girraffe","Related","Read",1
"M20322809","Girraffe","Related","Read",1
"M20316111_ARD","Girraffe","Related","Read",1
"M20304792_AEM","Girraffe","Related","Read",1
"M20324255","Girraffe","Related","Read",1
"M2033128","Girraffe","Related","Read",0
"M20327473","Girraffe","Related","Read",1
"M20320940","Girraffe","Related","Read",1
"M20323930","Girraffe","Related","Read",1
"20302746","Girraffe","Related","Read",1
"M20311413","Girraffe","Related","Read",1
"m20319677","Girraffe","Related","Read",1
"20322440","Girraffe","Related","Read",1
"M20335574","Girraffe","Related","Read",1
"M20301992","Girraffe","Related","Read",1
"M20323930","Glacier","Related","Read",0
"M20316111_ARD","Glacier","Related","Read",0
"m20319677","Glacier","Related","Read",1
"M20324255","Glacier","Related","Read",1
"M20321393","Glacier","Related","Read",0
"M2033128","Glacier","Related","Read",1
"m20335829","Glacier","Related","Read",1
"M20327473","Glacier","Related","Read",1
"M20304792_AEM","Glacier","Related","Read",1
"20321578","Glacier","Related","Read",1
"M20311413","Glacier","Related","Read",0
"20302746","Glacier","Related","Read",1
"M20335574","Glacier","Related","Read",1
"20322440","Glacier","Related","Read",1
"M20320940","Glacier","Related","Read",0
"M20317208","Glacier","Related","Read",1
"M20322809","Glacier","Related","Read",1
"M20301992","Glacier","Related","Read",1
"20327605","Glacier","Related","Read",1
"m20335829","Goat","Related","Read",0
"20327605","Goat","Related","Read",1
"20302746","Goat","Related","Read",0
"M20317208","Goat","Related","Read",1
"M2033128","Goat","Related","Read",0
"M20301992","Goat","Related","Read",1
"M20335574","Goat","Related","Read",1
"M20321393","Goat","Related","Read",0
"M20320940","Goat","Related","Read",1
"20321578","Goat","Related","Read",0
"M20324255","Goat","Related","Read",1
"M20311413","Goat","Related","Read",1
"M20327473","Goat","Related","Read",0
"M20304792_AEM","Goat","Related","Read",0
"m20319677","Goat","Related","Read",0
"M20322809","Goat","Related","Read",1
"20322440","Goat","Related","Read",0
"M20316111_ARD","Goat","Related","Read",1
"M20323930","Goat","Related","Read",1
"M20323930","Guitar","Unrelated","Read",1
"20321578","Guitar","Unrelated","Read",1
"20327605","Guitar","Unrelated","Read",1
"M2033128","Guitar","Unrelated","Read",0
"M20320940","Guitar","Unrelated","Read",1
"m20319677","Guitar","Unrelated","Read",1
"m20335829","Guitar","Unrelated","Read",0
"M20301992","Guitar","Unrelated","Read",1
"M20311413","Guitar","Unrelated","Read",0
"M20327473","Guitar","Unrelated","Read",1
"M20324255","Guitar","Unrelated","Read",0
"M20316111_ARD","Guitar","Unrelated","Read",1
"20322440","Guitar","Unrelated","Read",0
"M20317208","Guitar","Unrelated","Read",1
"M20322809","Guitar","Unrelated","Read",0
"20302746","Guitar","Unrelated","Read",1
"M20321393","Guitar","Unrelated","Read",1
"M20304792_AEM","Guitar","Unrelated","Read",1
"M20335574","Guitar","Unrelated","Read",1
"M20311413","Hill","Related","Read",1
"M20301992","Hill","Related","Read",1
"20322440","Hill","Related","Read",1
"M2033128","Hill","Related","Read",0
"M20322809","Hill","Related","Read",1
"M20304792_AEM","Hill","Related","Read",0
"M20335574","Hill","Related","Read",0
"20321578","Hill","Related","Read",1
"M20316111_ARD","Hill","Related","Read",1
"m20335829","Hill","Related","Read",1
"M20327473","Hill","Related","Read",1
"M20317208","Hill","Related","Read",1
"M20323930","Hill","Related","Read",1
"20327605","Hill","Related","Read",1
"m20319677","Hill","Related","Read",1
"M20324255","Hill","Related","Read",1
"M20320940","Hill","Related","Read",0
"20302746","Hill","Related","Read",1
"M20321393","Hill","Related","Read",1
"M2033128","Hockey","Unrelated","Read",1
"M20301992","Hockey","Unrelated","Read",0
"20321578","Hockey","Unrelated","Read",1
"20322440","Hockey","Unrelated","Read",1
"20327605","Hockey","Unrelated","Read",1
"M20304792_AEM","Hockey","Unrelated","Read",1
"M20322809","Hockey","Unrelated","Read",1
"M20317208","Hockey","Unrelated","Read",1
"M20327473","Hockey","Unrelated","Read",1
"M20321393","Hockey","Unrelated","Read",1
"m20319677","Hockey","Unrelated","Read",1
"M20320940","Hockey","Unrelated","Read",1
"M20316111_ARD","Hockey","Unrelated","Read",0
"M20311413","Hockey","Unrelated","Read",0
"m20335829","Hockey","Unrelated","Read",1
"M20335574","Hockey","Unrelated","Read",1
"M20324255","Hockey","Unrelated","Read",1
"M20323930","Hockey","Unrelated","Read",1
"20302746","Hockey","Unrelated","Read",1
"M2033128","Island","Related","Read",1
"M20321393","Island","Related","Read",1
"20321578","Island","Related","Read",1
"20322440","Island","Related","Read",1
"M20323930","Island","Related","Read",1
"M20327473","Island","Related","Read",1
"m20335829","Island","Related","Read",1
"M20311413","Island","Related","Read",0
"20327605","Island","Related","Read",0
"20302746","Island","Related","Read",1
"M20335574","Island","Related","Read",1
"M20322809","Island","Related","Read",1
"M20304792_AEM","Island","Related","Read",0
"m20319677","Island","Related","Read",1
"M20317208","Island","Related","Read",1
"M20324255","Island","Related","Read",0
"M20316111_ARD","Island","Related","Read",1
"M20301992","Island","Related","Read",1
"M20320940","Island","Related","Read",1
"M20322809","Jeep","Unrelated","Read",1
"M20321393","Jeep","Unrelated","Read",0
"M20316111_ARD","Jeep","Unrelated","Read",1
"M20304792_AEM","Jeep","Unrelated","Read",1
"m20335829","Jeep","Unrelated","Read",1
"m20319677","Jeep","Unrelated","Read",1
"20302746","Jeep","Unrelated","Read",1
"20327605","Jeep","Unrelated","Read",1
"M20327473","Jeep","Unrelated","Read",1
"20321578","Jeep","Unrelated","Read",0
"M20320940","Jeep","Unrelated","Read",0
"M20311413","Jeep","Unrelated","Read",0
"M20323930","Jeep","Unrelated","Read",1
"20322440","Jeep","Unrelated","Read",0
"M2033128","Jeep","Unrelated","Read",0
"M20324255","Jeep","Unrelated","Read",1
"M20301992","Jeep","Unrelated","Read",1
"M20317208","Jeep","Unrelated","Read",1
"M20335574","Jeep","Unrelated","Read",1
"20327605","Lake","Related","Read",1
"M20320940","Lake","Related","Read",1
"M20316111_ARD","Lake","Related","Read",1
"M20311413","Lake","Related","Read",1
"M20323930","Lake","Related","Read",1
"M20324255","Lake","Related","Read",1
"20321578","Lake","Related","Read",0
"M2033128","Lake","Related","Read",1
"m20319677","Lake","Related","Read",1
"M20322809","Lake","Related","Read",1
"M20327473","Lake","Related","Read",0
"20302746","Lake","Related","Read",1
"m20335829","Lake","Related","Read",1
"M20321393","Lake","Related","Read",1
"M20317208","Lake","Related","Read",1
"20322440","Lake","Related","Read",1
"M20301992","Lake","Related","Read",1
"M20335574","Lake","Related","Read",1
"M20304792_AEM","Lake","Related","Read",1
"M20317208","Lion","Related","Read",1
"M20301992","Lion","Related","Read",1
"20302746","Lion","Related","Read",0
"M20322809","Lion","Related","Read",1
"M20323930","Lion","Related","Read",1
"M20316111_ARD","Lion","Related","Read",0
"20322440","Lion","Related","Read",1
"M20327473","Lion","Related","Read",1
"M20320940","Lion","Related","Read",0
"m20319677","Lion","Related","Read",1
"M20311413","Lion","Related","Read",0
"M20304792_AEM","Lion","Related","Read",0
"m20335829","Lion","Related","Read",1
"20327605","Lion","Related","Read",1
"M20324255","Lion","Related","Read",1
"M20335574","Lion","Related","Read",1
"M20321393","Lion","Related","Read",1
"M2033128","Lion","Related","Read",0
"20321578","Lion","Related","Read",1
"M20311413","Lipstick","Unrelated","Read",1
"20321578","Lipstick","Unrelated","Read",0
"M20321393","Lipstick","Unrelated","Read",1
"M20322809","Lipstick","Unrelated","Read",1
"M20316111_ARD","Lipstick","Unrelated","Read",1
"20322440","Lipstick","Unrelated","Read",1
"M20320940","Lipstick","Unrelated","Read",1
"M20323930","Lipstick","Unrelated","Read",1
"M20327473","Lipstick","Unrelated","Read",1
"M20301992","Lipstick","Unrelated","Read",0
"m20335829","Lipstick","Unrelated","Read",0
"M20324255","Lipstick","Unrelated","Read",1
"M2033128","Lipstick","Unrelated","Read",1
"M20304792_AEM","Lipstick","Unrelated","Read",0
"M20335574","Lipstick","Unrelated","Read",1
"20302746","Lipstick","Unrelated","Read",1
"M20317208","Lipstick","Unrelated","Read",1
"20327605","Lipstick","Unrelated","Read",1
"m20319677","Lipstick","Unrelated","Read",1
"M20323930","Mayor","Unrelated","Read",1
"M20324255","Mayor","Unrelated","Read",1
"M20317208","Mayor","Unrelated","Read",1
"M20304792_AEM","Mayor","Unrelated","Read",0
"M20335574","Mayor","Unrelated","Read",1
"M20301992","Mayor","Unrelated","Read",1
"M20321393","Mayor","Unrelated","Read",0
"M20311413","Mayor","Unrelated","Read",1
"m20335829","Mayor","Unrelated","Read",1
"M20320940","Mayor","Unrelated","Read",0
"M2033128","Mayor","Unrelated","Read",1
"M20322809","Mayor","Unrelated","Read",1
"20302746","Mayor","Unrelated","Read",0
"20322440","Mayor","Unrelated","Read",1
"20321578","Mayor","Unrelated","Read",1
"M20327473","Mayor","Unrelated","Read",1
"20327605","Mayor","Unrelated","Read",1
"m20319677","Mayor","Unrelated","Read",1
"M20316111_ARD","Mayor","Unrelated","Read",1
"M20324255","Milk","Unrelated","Read",1
"M20327473","Milk","Unrelated","Read",1
"M20316111_ARD","Milk","Unrelated","Read",0
"M20322809","Milk","Unrelated","Read",1
"M20311413","Milk","Unrelated","Read",0
"M20335574","Milk","Unrelated","Read",1
"20321578","Milk","Unrelated","Read",1
"M2033128","Milk","Unrelated","Read",1
"M20320940","Milk","Unrelated","Read",0
"M20301992","Milk","Unrelated","Read",1
"20322440","Milk","Unrelated","Read",1
"M20323930","Milk","Unrelated","Read",1
"M20317208","Milk","Unrelated","Read",1
"20327605","Milk","Unrelated","Read",1
"M20321393","Milk","Unrelated","Read",0
"m20335829","Milk","Unrelated","Read",1
"m20319677","Milk","Unrelated","Read",1
"M20304792_AEM","Milk","Unrelated","Read",0
"20302746","Milk","Unrelated","Read",1
"20327605","Mountain","Related","Read",1
"20302746","Mountain","Related","Read",1
"M20324255","Mountain","Related","Read",1
"M20322809","Mountain","Related","Read",0
"M20320940","Mountain","Related","Read",1
"M20316111_ARD","Mountain","Related","Read",1
"M20321393","Mountain","Related","Read",0
"M20317208","Mountain","Related","Read",1
"M20304792_AEM","Mountain","Related","Read",1
"M20327473","Mountain","Related","Read",1
"20322440","Mountain","Related","Read",1
"20321578","Mountain","Related","Read",1
"M20311413","Mountain","Related","Read",1
"M20323930","Mountain","Related","Read",1
"M20335574","Mountain","Related","Read",1
"m20319677","Mountain","Related","Read",1
"M20301992","Mountain","Related","Read",1
"M2033128","Mountain","Related","Read",0
"m20335829","Mountain","Related","Read",1
"M20321393","Ocean","Related","Read",0
"M20316111_ARD","Ocean","Related","Read",1
"20302746","Ocean","Related","Read",1
"M20317208","Ocean","Related","Read",1
"M20320940","Ocean","Related","Read",1
"20321578","Ocean","Related","Read",1
"m20335829","Ocean","Related","Read",1
"M20322809","Ocean","Related","Read",1
"M20327473","Ocean","Related","Read",1
"M20311413","Ocean","Related","Read",0
"M2033128","Ocean","Related","Read",0
"m20319677","Ocean","Related","Read",1
"M20323930","Ocean","Related","Read",0
"20322440","Ocean","Related","Read",1
"M20335574","Ocean","Related","Read",1
"M20324255","Ocean","Related","Read",1
"20327605","Ocean","Related","Read",1
"M20304792_AEM","Ocean","Related","Read",1
"M20301992","Ocean","Related","Read",1
"M20311413","Oxygen","Unrelated","Read",1
"M20321393","Oxygen","Unrelated","Read",1
"M20323930","Oxygen","Unrelated","Read",1
"20321578","Oxygen","Unrelated","Read",0
"M20327473","Oxygen","Unrelated","Read",1
"M20320940","Oxygen","Unrelated","Read",0
"m20335829","Oxygen","Unrelated","Read",1
"M20324255","Oxygen","Unrelated","Read",1
"20327605","Oxygen","Unrelated","Read",1
"M2033128","Oxygen","Unrelated","Read",1
"M20304792_AEM","Oxygen","Unrelated","Read",1
"M20335574","Oxygen","Unrelated","Read",1
"M20322809","Oxygen","Unrelated","Read",0
"M20316111_ARD","Oxygen","Unrelated","Read",1
"M20301992","Oxygen","Unrelated","Read",1
"20322440","Oxygen","Unrelated","Read",0
"m20319677","Oxygen","Unrelated","Read",0
"M20317208","Oxygen","Unrelated","Read",1
"20302746","Oxygen","Unrelated","Read",1
"M2033128","Pants","Unrelated","Read",1
"M20311413","Pants","Unrelated","Read",0
"20321578","Pants","Unrelated","Read",1
"m20319677","Pants","Unrelated","Read",1
"M20320940","Pants","Unrelated","Read",0
"M20327473","Pants","Unrelated","Read",1
"M20321393","Pants","Unrelated","Read",1
"20327605","Pants","Unrelated","Read",1
"M20304792_AEM","Pants","Unrelated","Read",1
"M20324255","Pants","Unrelated","Read",0
"m20335829","Pants","Unrelated","Read",1
"20302746","Pants","Unrelated","Read",1
"M20322809","Pants","Unrelated","Read",0
"M20317208","Pants","Unrelated","Read",0
"M20323930","Pants","Unrelated","Read",1
"M20335574","Pants","Unrelated","Read",1
"M20301992","Pants","Unrelated","Read",1
"M20316111_ARD","Pants","Unrelated","Read",0
"20322440","Pants","Unrelated","Read",1
"M20316111_ARD","Parrot","Unrelated","Read",1
"20327605","Parrot","Unrelated","Read",1
"M20301992","Parrot","Unrelated","Read",1
"M20321393","Parrot","Unrelated","Read",1
"M20304792_AEM","Parrot","Unrelated","Read",1
"M20311413","Parrot","Unrelated","Read",1
"20321578","Parrot","Unrelated","Read",0
"M20320940","Parrot","Unrelated","Read",0
"20302746","Parrot","Unrelated","Read",0
"m20335829","Parrot","Unrelated","Read",1
"M20317208","Parrot","Unrelated","Read",1
"M20335574","Parrot","Unrelated","Read",1
"m20319677","Parrot","Unrelated","Read",0
"M20322809","Parrot","Unrelated","Read",1
"M20327473","Parrot","Unrelated","Read",1
"M2033128","Parrot","Unrelated","Read",0
"20322440","Parrot","Unrelated","Read",0
"M20324255","Parrot","Unrelated","Read",0
"M20323930","Parrot","Unrelated","Read",1
"M20327473","Rifle","Unrelated","Read",1
"m20319677","Rifle","Unrelated","Read",1
"M20324255","Rifle","Unrelated","Read",0
"20302746","Rifle","Unrelated","Read",1
"M20320940","Rifle","Unrelated","Read",0
"M20322809","Rifle","Unrelated","Read",1
"M20321393","Rifle","Unrelated","Read",1
"M20301992","Rifle","Unrelated","Read",1
"M20316111_ARD","Rifle","Unrelated","Read",0
"M20304792_AEM","Rifle","Unrelated","Read",0
"M20311413","Rifle","Unrelated","Read",1
"20327605","Rifle","Unrelated","Read",1
"20321578","Rifle","Unrelated","Read",1
"20322440","Rifle","Unrelated","Read",0
"M20335574","Rifle","Unrelated","Read",1
"M2033128","Rifle","Unrelated","Read",0
"M20317208","Rifle","Unrelated","Read",1
"m20335829","Rifle","Unrelated","Read",1
"M20323930","Rifle","Unrelated","Read",1
"M20324255","River","Related","Read",1
"M20317208","River","Related","Read",1
"M20335574","River","Related","Read",1
"20327605","River","Related","Read",1
"m20335829","River","Related","Read",1
"M20301992","River","Related","Read",1
"M20320940","River","Related","Read",1
"m20319677","River","Related","Read",1
"M20311413","River","Related","Read",0
"20321578","River","Related","Read",1
"20302746","River","Related","Read",1
"M20322809","River","Related","Read",1
"M20323930","River","Related","Read",1
"M20327473","River","Related","Read",1
"M20304792_AEM","River","Related","Read",1
"M20321393","River","Related","Read",1
"M2033128","River","Related","Read",1
"M20316111_ARD","River","Related","Read",0
"20322440","River","Related","Read",1
"M20323930","Rock","Related","Read",0
"20302746","Rock","Related","Read",1
"20321578","Rock","Related","Read",1
"m20335829","Rock","Related","Read",1
