"Username","Trial","Condition.Number","Condition.Description","Condition.Notes","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Stimuli.Value","Procedure.Item","Procedure.Trial.Type","Procedure.Procedure.Notes","Procedure.Shuffle","Response.RT","Response.Response"
"56a930c711926500056e6eed",49,1,"Read","A","hate",NA,"A11",NA,NA,36,"Study","Anger","A11",1740,""
"56a930c711926500056e6eed",50,1,"Read","A","fear",NA,"A12",NA,NA,37,"Study","Anger","A12",2186,""
"56a930c711926500056e6eed",55,1,"Read","A","",NA,"",NA,NA,0,"FreeRecall","","RECALL_Test",60002,"rage, enrage, mad, anger, temper"
"56a930c711926500056e6eed",57,1,"Read","A","garbage",NA,"T1",NA,NA,38,"Study","Trash","T1",3085,""
"56a930c711926500056e6eed",58,1,"Read","A","rubbish",NA,"T2",NA,NA,39,"Study","Trash","T2",2898,""
"56a930c711926500056e6eed",59,1,"Read","A","debris",NA,"T3",NA,NA,40,"Study","Trash","T3",3697,""
"56a930c711926500056e6eed",60,1,"Read","A","dump",NA,"T4",NA,NA,41,"Study","Trash","T4",2576,""
"56a930c711926500056e6eed",61,1,"Read","A","litter",NA,"T5",NA,NA,42,"Study","Trash","T5",2531,""
"56a930c711926500056e6eed",62,1,"Read","A","landfill",NA,"T6",NA,NA,43,"Study","Trash","T6",2515,""
"56a930c711926500056e6eed",63,1,"Read","A","junk",NA,"T7",NA,NA,44,"Study","Trash","T7",5735,""
"56a930c711926500056e6eed",64,1,"Read","A","waste",NA,"T8",NA,NA,45,"Study","Trash","T8",3933,""
"56a930c711926500056e6eed",65,1,"Read","A","sewage",NA,"T9",NA,NA,46,"Study","Trash","T9",5497,""
"56a930c711926500056e6eed",66,1,"Read","A","pile",NA,"T10",NA,NA,47,"Study","Trash","T10",1720,""
"56a930c711926500056e6eed",67,1,"Read","A","scraps",NA,"T11",NA,NA,48,"Study","Trash","T11",2265,""
"56a930c711926500056e6eed",68,1,"Read","A","refuse",NA,"T12",NA,NA,49,"Study","Trash","T12",2159,""
"56a930c711926500056e6eed",73,1,"Read","A","",NA,"",NA,NA,0,"FreeRecall","","RECALL_Test",60005,"landfill, refuse, rubbish, waste, garbage"
"56a930c711926500056e6eed",75,1,"Read","A","physician",NA,"D1",NA,NA,50,"Study","Doctor","D1",29297,""
"56a930c711926500056e6eed",76,1,"Read","A","nurse",NA,"D2",NA,NA,51,"Study","Doctor","D2",2530,""
"56a930c711926500056e6eed",77,1,"Read","A","stethoscope",NA,"D3",NA,NA,52,"Study","Doctor","D3",2776,""
"56a930c711926500056e6eed",78,1,"Read","A","surgeon",NA,"D4",NA,NA,53,"Study","Doctor","D4",3663,""
"56a930c711926500056e6eed",79,1,"Read","A","patient",NA,"D5",NA,NA,54,"Study","Doctor","D5",5563,""
"56a930c711926500056e6eed",80,1,"Read","A","clinic",NA,"D6",NA,NA,55,"Study","Doctor","D6",3481,""
"56a930c711926500056e6eed",81,1,"Read","A","dentist",NA,"D7",NA,NA,56,"Study","Doctor","D7",3206,""
"56a930c711926500056e6eed",82,1,"Read","A","medicine",NA,"D8",NA,NA,57,"Study","Doctor","D8",2633,""
"56a930c711926500056e6eed",83,1,"Read","A","lawyer",NA,"D9",NA,NA,58,"Study","Doctor","D9",4680,""
"56a930c711926500056e6eed",84,1,"Read","A","health",NA,"D10",NA,NA,59,"Study","Doctor","D10",2736,""
"56a930c711926500056e6eed",85,1,"Read","A","sick",NA,"D11",NA,NA,60,"Study","Doctor","D11",1840,""
"56a930c711926500056e6eed",86,1,"Read","A","cure",NA,"D12",NA,NA,61,"Study","Doctor","D12",2354,""
"56a930c711926500056e6eed",91,1,"Read","A","",NA,"",NA,NA,0,"FreeRecall","","RECALL_Test",60005,"surgeon, nurse, doctor, dentist, medicine, heal, "
"56a930c711926500056e6eed",93,1,"Read","A","fast",NA,"S1",NA,NA,62,"Study","Slow","S1",8127,""
"56a930c711926500056e6eed",94,1,"Read","A","snail",NA,"S2",NA,NA,63,"Study","Slow","S2",14895,""
"56a930c711926500056e6eed",95,1,"Read","A","turtle",NA,"S3",NA,NA,64,"Study","Slow","S3",27910,""
"56a930c711926500056e6eed",96,1,"Read","A","sluggish",NA,"S4",NA,NA,65,"Study","Slow","S4",2065,""
"56a930c711926500056e6eed",97,1,"Read","A","quick",NA,"S5",NA,NA,66,"Study","Slow","S5",9653,""
"56a930c711926500056e6eed",98,1,"Read","A","molasses",NA,"S6",NA,NA,67,"Study","Slow","S6",1926,""
"56a930c711926500056e6eed",99,1,"Read","A","lethargic",NA,"S7",NA,NA,68,"Study","Slow","S7",13994,""
"56a930c711926500056e6eed",100,1,"Read","A","speed",NA,"S8",NA,NA,69,"Study","Slow","S8",3356,""
"56a930c711926500056e6eed",101,1,"Read","A","delay",NA,"S9",NA,NA,70,"Study","Slow","S9",1284,""
"56a930c711926500056e6eed",102,1,"Read","A","hesitant",NA,"S10",NA,NA,71,"Study","Slow","S10",1855,""
"56a930c711926500056e6eed",103,1,"Read","A","cautious",NA,"S11",NA,NA,72,"Study","Slow","S11",2096,""
"56a930c711926500056e6eed",104,1,"Read","A","traffic",NA,"S12",NA,NA,73,"Study","Slow","S12",2363,""
"56a930c711926500056e6eed",109,1,"Read","A","",NA,"",NA,NA,0,"FreeRecall","","RECALL_Test",60004,"slow, turtle, speed, fast, molasses"
"56a930c711926500056e6eed",111,1,"Read","A","mississippi",NA,"RR1",NA,NA,74,"Study","River","RR1",3453,""
"56a930c711926500056e6eed",112,1,"Read","A","creek",NA,"RR2",NA,NA,75,"Study","River","RR2",3882,""
"56a930c711926500056e6eed",113,1,"Read","A","stream",NA,"RR3",NA,NA,76,"Study","River","RR3",4371,""
"56a930c711926500056e6eed",114,1,"Read","A","flow",NA,"RR4",NA,NA,77,"Study","River","RR4",6387,""
"56a930c711926500056e6eed",115,1,"Read","A","bridge",NA,"RR5",NA,NA,78,"Study","River","RR5",4848,""
"56a930c711926500056e6eed",116,1,"Read","A","brook",NA,"RR6",NA,NA,79,"Study","River","RR6",7825,""
"56a930c711926500056e6eed",117,1,"Read","A","lake",NA,"RR7",NA,NA,80,"Study","River","RR7",3912,""
"56a930c711926500056e6eed",118,1,"Read","A","barge",NA,"RR8",NA,NA,81,"Study","River","RR8",2294,""
"56a930c711926500056e6eed",119,1,"Read","A","water",NA,"RR9",NA,NA,82,"Study","River","RR9",6857,""
"56a930c711926500056e6eed",120,1,"Read","A","boat",NA,"RR10",NA,NA,83,"Study","River","RR10",2366,""
"56a930c711926500056e6eed",121,1,"Read","A","tide",NA,"RR11",NA,NA,84,"Study","River","RR11",2285,""
"56a930c711926500056e6eed",122,1,"Read","A","swim",NA,"RR12",NA,NA,85,"Study","River","RR12",2101,""
"56a930c711926500056e6eed",127,1,"Read","A","",NA,"",NA,NA,0,"FreeRecall","","RECALL_Test",60009,"weed, water, "
"56a930c711926500056e6eed",129,1,"Read","A","rye",NA,"B1",NA,NA,86,"Study","Bread","B1",13902,""
"56a930c711926500056e6eed",130,1,"Read","A","loaf",NA,"B2",NA,NA,87,"Study","Bread","B2",3264,""
"56a930c711926500056e6eed",131,1,"Read","A","butter",NA,"B3",NA,NA,88,"Study","Bread","B3",7136,""
"56a930c711926500056e6eed",132,1,"Read","A","toast",NA,"B4",NA,NA,89,"Study","Bread","B4",5467,""
"56a930c711926500056e6eed",133,1,"Read","A","dough",NA,"B5",NA,NA,90,"Study","Bread","B5",3704,""
"56a930c711926500056e6eed",134,1,"Read","A","crust",NA,"B6",NA,NA,91,"Study","Bread","B6",4718,""
"56a930c711926500056e6eed",135,1,"Read","A","flour",NA,"B7",NA,NA,92,"Study","Bread","B7",5335,""
"56a930c711926500056e6eed",136,1,"Read","A","sandwich",NA,"B8",NA,NA,93,"Study","Bread","B8",6080,""
"56a930c711926500056e6eed",137,1,"Read","A","jam",NA,"B9",NA,NA,94,"Study","Bread","B9",11059,""
"56a930c711926500056e6eed",138,1,"Read","A","jelly",NA,"B10",NA,NA,95,"Study","Bread","B10",4216,""
"56a930c711926500056e6eed",139,1,"Read","A","slice",NA,"B11",NA,NA,96,"Study","Bread","B11",3245,""
"56a930c711926500056e6eed",140,1,"Read","A","milk",NA,"B12",NA,NA,97,"Study","Bread","B12",4242,""
"56a930c711926500056e6eed",145,1,"Read","A","",NA,"",NA,NA,0,"FreeRecall","","RECALL_Test",60003,"crust, bread, butter, jam, flour"
"56a930c711926500056e6eed",147,1,"Read","A","banner",NA,"F1",NA,NA,98,"Study","Flag","F1",8070,""
"56a930c711926500056e6eed",148,1,"Read","A","checkered",NA,"F2",NA,NA,99,"Study","Flag","F2",3653,""
"56a930c711926500056e6eed",149,1,"Read","A","american",NA,"F3",NA,NA,100,"Study","Flag","F3",6475,""
"56a930c711926500056e6eed",150,1,"Read","A","stripes",NA,"F4",NA,NA,101,"Study","Flag","F4",5080,""
"56a930c711926500056e6eed",151,1,"Read","A","pole",NA,"F5",NA,NA,102,"Study","Flag","F5",5248,""
"56a930c711926500056e6eed",152,1,"Read","A","anthem",NA,"F6",NA,NA,103,"Study","Flag","F6",5284,""
"56a930c711926500056e6eed",153,1,"Read","A","emblem",NA,"F7",NA,NA,104,"Study","Flag","F7",5006,""
"56a930c711926500056e6eed",154,1,"Read","A","national",NA,"F8",NA,NA,105,"Study","Flag","F8",4524,""
"56a930c711926500056e6eed",155,1,"Read","A","freedom",NA,"F9",NA,NA,106,"Study","Flag","F9",2120,""
"56a930c711926500056e6eed",156,1,"Read","A","symbol",NA,"F10",NA,NA,107,"Study","Flag","F10",1323,""
"56a930c711926500056e6eed",157,1,"Read","A","wave",NA,"F11",NA,NA,108,"Study","Flag","F11",4736,""
"56a930c711926500056e6eed",158,1,"Read","A","stars",NA,"F12",NA,NA,109,"Study","Flag","F12",1357,""
"56a930c711926500056e6eed",163,1,"Read","A","",NA,"",NA,NA,0,"FreeRecall","","RECALL_Test",60011,"pole, banner, stars, emblem"
"56a930c711926500056e6eed",165,1,"Read","A","blouse",NA,"SS1",NA,NA,110,"Study","Shirt","SS1",11595,""
"56a930c711926500056e6eed",166,1,"Read","A","sleeves",NA,"SS2",NA,NA,111,"Study","Shirt","SS2",3369,""
"56a930c711926500056e6eed",167,1,"Read","A","collar",NA,"SS3",NA,NA,112,"Study","Shirt","SS3",8960,""
"56a930c711926500056e6eed",168,1,"Read","A","shorts",NA,"SS4",NA,NA,113,"Study","Shirt","SS4",1573,""
"56a930c711926500056e6eed",169,1,"Read","A","button",NA,"SS5",NA,NA,114,"Study","Shirt","SS5",2217,""
"56a930c711926500056e6eed",170,1,"Read","A","pants",NA,"SS6",NA,NA,115,"Study","Shirt","SS6",1945,""
"56a930c711926500056e6eed",171,1,"Read","A","polo",NA,"SS7",NA,NA,116,"Study","Shirt","SS7",6449,""
"56a930c711926500056e6eed",172,1,"Read","A","jersey",NA,"SS8",NA,NA,117,"Study","Shirt","SS8",5498,""
"56a930c711926500056e6eed",173,1,"Read","A","vest",NA,"SS9",NA,NA,118,"Study","Shirt","SS9",1747,""
"56a930c711926500056e6eed",174,1,"Read","A","cuffs",NA,"SS10",NA,NA,119,"Study","Shirt","SS10",2440,""
"56a930c711926500056e6eed",175,1,"Read","A","tie",NA,"SS11",NA,NA,120,"Study","Shirt","SS11",7806,""
"56a930c711926500056e6eed",176,1,"Read","A","pocket",NA,"SS12",NA,NA,121,"Study","Shirt","SS12",2954,""
"56a930c711926500056e6eed",181,1,"Read","A","",NA,"",NA,NA,0,"FreeRecall","","RECALL_Test",60009,"blouse, collar, shirt, cuff, shirt"
"56d684fffc7879000c77d87f",3,2,"Read","B","aroma",NA,"Win_1",NA,NA,2,"Study","Window","Win_1",4343,""
"56d684fffc7879000c77d87f",4,2,"Read","B","scent",NA,"Win_2",NA,NA,3,"Study","Window","Win_2",5107,""
"56d684fffc7879000c77d87f",5,2,"Read","B","whiff",NA,"Win_3",NA,NA,4,"Study","Window","Win_3",4708,""
"56d684fffc7879000c77d87f",6,2,"Read","B","stench",NA,"Win_4",NA,NA,5,"Study","Window","Win_4",4665,""
"56d684fffc7879000c77d87f",7,2,"Read","B","reek",NA,"Win_5",NA,NA,6,"Study","Window","Win_5",4118,""
"56d684fffc7879000c77d87f",8,2,"Read","B","sniff",NA,"Win_6",NA,NA,7,"Study","Window","Win_6",4316,""
"56d684fffc7879000c77d87f",9,2,"Read","B","perfume",NA,"Win_7",NA,NA,8,"Study","Window","Win_7",4979,""
"56d684fffc7879000c77d87f",10,2,"Read","B","fragrance",NA,"Win_8",NA,NA,9,"Study","Window","Win_8",5265,""
"56d684fffc7879000c77d87f",11,2,"Read","B","nose",NA,"Win_9",NA,NA,10,"Study","Window","Win_9",3454,""
"56d684fffc7879000c77d87f",12,2,"Read","B","rose",NA,"Win_10",NA,NA,11,"Study","Window","Win_10",4122,""
"56d684fffc7879000c77d87f",13,2,"Read","B","salts",NA,"Win_11",NA,NA,12,"Study","Window","Win_11",4124,""
"56d684fffc7879000c77d87f",14,2,"Read","B","breathe",NA,"Win_12",NA,NA,13,"Study","Window","Win_12",6148,""
"56d684fffc7879000c77d87f",19,2,"Read","B","",NA,"",NA,NA,0,"FreeRecall","","RECALL_Test",60004,"aroma, breathe, salt, rose, nose, perfume, fragrance, sniff, reek, whiff, scent"
"56d684fffc7879000c77d87f",21,2,"Read","B","hard",NA,"R1",NA,NA,14,"Study","Rough","R1",4567,""
"56d684fffc7879000c77d87f",22,2,"Read","B","loud",NA,"R2",NA,NA,15,"Study","Rough","R2",3389,""
"56d684fffc7879000c77d87f",23,2,"Read","B","tender",NA,"R3",NA,NA,16,"Study","Rough","R3",3748,""
"56d684fffc7879000c77d87f",24,2,"Read","B","fluffy",NA,"R4",NA,NA,17,"Study","Rough","R4",4452,""
"56d684fffc7879000c77d87f",25,2,"Read","B","pillow",NA,"R5",NA,NA,18,"Study","Rough","R5",3591,""
"56d684fffc7879000c77d87f",26,2,"Read","B","downy",NA,"R6",NA,NA,19,"Study","Rough","R6",3997,""
"56d684fffc7879000c77d87f",27,2,"Read","B","plush",NA,"R7",NA,NA,20,"Study","Rough","R7",3471,""
"56d684fffc7879000c77d87f",28,2,"Read","B","cotton",NA,"R8",NA,NA,21,"Study","Rough","R8",3704,""
"56d684fffc7879000c77d87f",29,2,"Read","B","skin",NA,"R9",NA,NA,22,"Study","Rough","R9",3131,""
"56d684fffc7879000c77d87f",30,2,"Read","B","fur",NA,"R10",NA,NA,23,"Study","Rough","R10",2940,""
"56d684fffc7879000c77d87f",31,2,"Read","B","touch",NA,"R11",NA,NA,24,"Study","Rough","R11",3201,""
"56d684fffc7879000c77d87f",32,2,"Read","B","furry",NA,"R12",NA,NA,25,"Study","Rough","R12",4671,""
"56d684fffc7879000c77d87f",37,2,"Read","B","",NA,"",NA,NA,0,"FreeRecall","","RECALL_Test",60002,"hard, load, fluffy, tender, pillow, downy, cotton, fur, touch, furry"
"56d684fffc7879000c77d87f",39,2,"Read","B","honey",NA,"A1",NA,NA,26,"Study","Anger","A1",5988,""
"56d684fffc7879000c77d87f",40,2,"Read","B","bitter",NA,"A2",NA,NA,27,"Study","Anger","A2",4523,""
"56d684fffc7879000c77d87f",41,2,"Read","B","sugar",NA,"A3",NA,NA,28,"Study","Anger","A3",3343,""
"56d684fffc7879000c77d87f",42,2,"Read","B","sour",NA,"A4",NA,NA,29,"Study","Anger","A4",2778,""
"56d684fffc7879000c77d87f",43,2,"Read","B","candy",NA,"A5",NA,NA,30,"Study","Anger","A5",3123,""
"56d684fffc7879000c77d87f",44,2,"Read","B","tart",NA,"A6",NA,NA,31,"Study","Anger","A6",2854,""
"56d684fffc7879000c77d87f",45,2,"Read","B","chocolate",NA,"A7",NA,NA,32,"Study","Anger","A7",4948,""
"56d684fffc7879000c77d87f",46,2,"Read","B","nice",NA,"A8",NA,NA,33,"Study","Anger","A8",2947,""
"56d684fffc7879000c77d87f",47,2,"Read","B","taste",NA,"A9",NA,NA,34,"Study","Anger","A9",3464,""
"56d684fffc7879000c77d87f",48,2,"Read","B","cake",NA,"A10",NA,NA,35,"Study","Anger","A10",3034,""
"56d684fffc7879000c77d87f",49,2,"Read","B","good",NA,"A11",NA,NA,36,"Study","Anger","A11",3033,""
"56d684fffc7879000c77d87f",50,2,"Read","B","tooth",NA,"A12",NA,NA,37,"Study","Anger","A12",3803,""
"56d684fffc7879000c77d87f",55,2,"Read","B","",NA,"",NA,NA,0,"FreeRecall","","RECALL_Test",60008,"honey, bitter, sugar, sour, tart, chocolate, nice, taste, good, teeth"
"56d684fffc7879000c77d87f",57,2,"Read","B","table",NA,"T1",NA,NA,38,"Study","Trash","T1",4991,""
"56d684fffc7879000c77d87f",58,2,"Read","B","swivel",NA,"T2",NA,NA,39,"Study","Trash","T2",3330,""
"56d684fffc7879000c77d87f",59,2,"Read","B","rocking",NA,"T3",NA,NA,40,"Study","Trash","T3",3955,""
"56d684fffc7879000c77d87f",60,2,"Read","B","recliner",NA,"T4",NA,NA,41,"Study","Trash","T4",4730,""
"56d684fffc7879000c77d87f",61,2,"Read","B","seat",NA,"T5",NA,NA,42,"Study","Trash","T5",2736,""
"56d684fffc7879000c77d87f",62,2,"Read","B","stool",NA,"T6",NA,NA,43,"Study","Trash","T6",3157,""
"56d684fffc7879000c77d87f",63,2,"Read","B","desk",NA,"T7",NA,NA,44,"Study","Trash","T7",2958,""
"56d684fffc7879000c77d87f",64,2,"Read","B","couch",NA,"T8",NA,NA,45,"Study","Trash","T8",2623,""
"56d684fffc7879000c77d87f",65,2,"Read","B","sit",NA,"T9",NA,NA,46,"Study","Trash","T9",2437,""
"56d684fffc7879000c77d87f",66,2,"Read","B","sofa",NA,"T10",NA,NA,47,"Study","Trash","T10",2939,""
"56d684fffc7879000c77d87f",67,2,"Read","B","bench",NA,"T11",NA,NA,48,"Study","Trash","T11",2857,""
"56d684fffc7879000c77d87f",68,2,"Read","B","sitting",NA,"T12",NA,NA,49,"Study","Trash","T12",3555,""
"56d684fffc7879000c77d87f",73,2,"Read","B","",NA,"",NA,NA,0,"FreeRecall","","RECALL_Test",60011,"sitting, desk, table, rocking, seat, couch, sofa, bench"
"56d684fffc7879000c77d87f",75,2,"Read","B","climber",NA,"D1",NA,NA,50,"Study","Doctor","D1",6491,""
"56d684fffc7879000c77d87f",76,2,"Read","B","hill",NA,"D2",NA,NA,51,"Study","Doctor","D2",3101,""
"56d684fffc7879000c77d87f",77,2,"Read","B","climb",NA,"D3",NA,NA,52,"Study","Doctor","D3",3923,""
"56d684fffc7879000c77d87f",78,2,"Read","B","molehill",NA,"D4",NA,NA,53,"Study","Doctor","D4",5567,""
"56d684fffc7879000c77d87f",79,2,"Read","B","peak",NA,"D5",NA,NA,54,"Study","Doctor","D5",3505,""
"56d684fffc7879000c77d87f",80,2,"Read","B","valley",NA,"D6",NA,NA,55,"Study","Doctor","D6",4362,""
"56d684fffc7879000c77d87f",81,2,"Read","B","summit",NA,"D7",NA,NA,56,"Study","Doctor","D7",3643,""
"56d684fffc7879000c77d87f",82,2,"Read","B","steep",NA,"D8",NA,NA,57,"Study","Doctor","D8",3127,""
"56d684fffc7879000c77d87f",83,2,"Read","B","ski",NA,"D9",NA,NA,58,"Study","Doctor","D9",2675,""
"56d684fffc7879000c77d87f",84,2,"Read","B","bike",NA,"D10",NA,NA,59,"Study","Doctor","D10",3272,""
"56d684fffc7879000c77d87f",85,2,"Read","B","goat",NA,"D11",NA,NA,60,"Study","Doctor","D11",3287,""
"56d684fffc7879000c77d87f",86,2,"Read","B","glacier",NA,"D12",NA,NA,61,"Study","Doctor","D12",3664,""
"56d684fffc7879000c77d87f",91,2,"Read","B","",NA,"",NA,NA,0,"FreeRecall","","RECALL_Test",60010,"hill, climb, glacier, goat, ski, steep, summit, valley, molehill"
"56d684fffc7879000c77d87f",93,2,"Read","B","band",NA,"S1",NA,NA,62,"Study","Slow","S1",4713,""
"56d684fffc7879000c77d87f",94,2,"Read","B","concert",NA,"S2",NA,NA,63,"Study","Slow","S2",3978,""
"56d684fffc7879000c77d87f",95,2,"Read","B","jazz",NA,"S3",NA,NA,64,"Study","Slow","S3",3728,""
"56d684fffc7879000c77d87f",96,2,"Read","B","symphony",NA,"S4",NA,NA,65,"Study","Slow","S4",5656,""
"56d684fffc7879000c77d87f",97,2,"Read","B","orchestra",NA,"S5",NA,NA,66,"Study","Slow","S5",5887,""
"56d684fffc7879000c77d87f",98,2,"Read","B","rhythm",NA,"S6",NA,NA,67,"Study","Slow","S6",5489,""
"56d684fffc7879000c77d87f",99,2,"Read","B","radio",NA,"S7",NA,NA,68,"Study","Slow","S7",4467,""
"56d684fffc7879000c77d87f",100,2,"Read","B","melody",NA,"S8",NA,NA,69,"Study","Slow","S8",4243,""
"56d684fffc7879000c77d87f",101,2,"Read","B","piano",NA,"S9",NA,NA,70,"Study","Slow","S9",3069,""
"56d684fffc7879000c77d87f",102,2,"Read","B","sound",NA,"S10",NA,NA,71,"Study","Slow","S10",5171,""
"56d684fffc7879000c77d87f",103,2,"Read","B","instrument",NA,"S11",NA,NA,72,"Study","Slow","S11",5288,""
"56d684fffc7879000c77d87f",104,2,"Read","B","note",NA,"S12",NA,NA,73,"Study","Slow","S12",3217,""
"56d684fffc7879000c77d87f",109,2,"Read","B","",NA,"",NA,NA,0,"FreeRecall","","RECALL_Test",60181,"band, concert, jazz, rhyme, radio, piano, sound, note"
"56d684fffc7879000c77d87f",111,2,"Read","B","foam",NA,"RR1",NA,NA,74,"Study","River","RR1",6173,""
"56d684fffc7879000c77d87f",112,2,"Read","B","latex",NA,"RR2",NA,NA,75,"Study","River","RR2",3740,""
"56d684fffc7879000c77d87f",113,2,"Read","B","galoshes",NA,"RR3",NA,NA,76,"Study","River","RR3",3579,""
"56d684fffc7879000c77d87f",114,2,"Read","B","tire",NA,"RR4",NA,NA,77,"Study","River","RR4",3343,""
"56d684fffc7879000c77d87f",115,2,"Read","B","flexible",NA,"RR5",NA,NA,78,"Study","River","RR5",4764,""
"56d684fffc7879000c77d87f",116,2,"Read","B","elastic",NA,"RR6",NA,NA,79,"Study","River","RR6",4135,""
"56d684fffc7879000c77d87f",117,2,"Read","B","gloves",NA,"RR7",NA,NA,80,"Study","River","RR7",4427,""
"56d684fffc7879000c77d87f",118,2,"Read","B","eraser",NA,"RR8",NA,NA,81,"Study","River","RR8",3827,""
"56d684fffc7879000c77d87f",119,2,"Read","B","bounce",NA,"RR9",NA,NA,82,"Study","River","RR9",3997,""
"56d684fffc7879000c77d87f",120,2,"Read","B","ball",NA,"RR10",NA,NA,83,"Study","River","RR10",3639,""
"56d684fffc7879000c77d87f",121,2,"Read","B","soles",NA,"RR11",NA,NA,84,"Study","River","RR11",3304,""
"56d684fffc7879000c77d87f",122,2,"Read","B","springy",NA,"RR12",NA,NA,85,"Study","River","RR12",5088,""
"56d684fffc7879000c77d87f",127,2,"Read","B","",NA,"",NA,NA,0,"FreeRecall","","RECALL_Test",60004,"foam, tire, elastic, eraser, bounce, ball, sole, spring"
"56d684fffc7879000c77d87f",129,2,"Read","B","toe",NA,"B1",NA,NA,86,"Study","Bread","B1",4069,""
