"Username","Stimuli.Answer","Stimuli.Stimuli.Notes","Response.Response","Direction","Encoding","scored"
"M20316111_ARD","Bed","Control","Control","Control","Read",1
"M20323930","Blue","Presented","Control","Unrelated","Read",0
"20327605","Blue","Presented","Presented","Unrelated","Read",1
"M20322809","Blue","Presented","Control","Unrelated","Read",0
"M20316111_ARD","Blue","Presented","Presented","Unrelated","Read",1
"M20304792_AEM","Blue","Presented","","Unrelated","Read",0
"M20321393","Blue","Presented","Control","Unrelated","Read",0
"M20320940","Blue","Presented","Presented","Unrelated","Read",1
"M20322322","Blue","Presented","Presented","Unrelated","Read",1
"M20324255","Blue","Presented","Presented","Unrelated","Read",1
"M2033128","Blue","Presented","Control","Unrelated","Read",0
"20322440","Blue","Presented","Presented","Unrelated","Read",1
"M20317208","Blue","Presented","Control","Unrelated","Read",0
"m20319677","Blue","Presented","Presented","Unrelated","Read",1
"M20304792_AEM","Canyon","Presented","Presented","Related","Read",1
"m20319677","Canyon","Presented","Presented","Related","Read",1
"M20321393","Canyon","Presented","Control","Related","Read",0
"20327605","Canyon","Presented","Presented","Related","Read",1
"M20324255","Canyon","Presented","Presented","Related","Read",1
"M20322809","Canyon","Presented","Presented","Related","Read",1
"M20322322","Canyon","Presented","Presented","Related","Read",1
"20322440","Canyon","Presented","Presented","Related","Read",1
"M20320940","Canyon","Presented","Presented","Related","Read",1
"M20323930","Canyon","Presented","Presented","Related","Read",1
"M2033128","Canyon","Presented","Presented","Related","Read",1
"M20317208","Canyon","Presented","Presented","Related","Read",1
"M20316111_ARD","Canyon","Presented","Presented","Related","Read",1
"20327605","Card","Control","Control","Control","Read",1
"M20324255","Card","Control","Control","Control","Read",1
"m20319677","Card","Control","Control","Control","Read",1
"M2033128","Card","Control","Control","Control","Read",1
"M20304792_AEM","Card","Control","Control","Control","Read",1
"20322440","Card","Control","Control","Control","Read",1
"M20323930","Card","Control","Control","Control","Read",1
"M20320940","Card","Control","Presented","Control","Read",0
"M20317208","Card","Control","Control","Control","Read",1
"M20321393","Card","Control","Control","Control","Read",1
"M20322322","Card","Control","Control","Control","Read",1
"M20316111_ARD","Card","Control","Control","Control","Read",1
"M20322809","Card","Control","Control","Control","Read",1
"M20323930","Cat","Presented","Control","Related","Read",0
"M20324255","Cat","Presented","Presented","Related","Read",1
"20322440","Cat","Presented","Control","Related","Read",0
"M20320940","Cat","Presented","Presented","Related","Read",1
"M2033128","Cat","Presented","Control","Related","Read",0
"M20321393","Cat","Presented","Control","Related","Read",0
"M20322322","Cat","Presented","Presented","Related","Read",1
"M20316111_ARD","Cat","Presented","Presented","Related","Read",1
"M20322809","Cat","Presented","Control","Related","Read",0
"20327605","Cat","Presented","Presented","Related","Read",1
"M20304792_AEM","Cat","Presented","Presented","Related","Read",1
"M20317208","Cat","Presented","Presented","Related","Read",1
"m20319677","Cat","Presented","Control","Related","Read",0
"m20319677","Cave","Presented","Presented","Related","Read",1
"M2033128","Cave","Presented","Control","Related","Read",0
"M20317208","Cave","Presented","Presented","Related","Read",1
"M20324255","Cave","Presented","Presented","Related","Read",1
"M20322322","Cave","Presented","Presented","Related","Read",1
"20327605","Cave","Presented","Presented","Related","Read",1
"M20320940","Cave","Presented","Control","Related","Read",0
"M20321393","Cave","Presented","Presented","Related","Read",1
"M20304792_AEM","Cave","Presented","Presented","Related","Read",1
"20322440","Cave","Presented","Presented","Related","Read",1
"M20316111_ARD","Cave","Presented","Presented","Related","Read",1
"M20322809","Cave","Presented","Presented","Related","Read",1
"M20323930","Cave","Presented","Presented","Related","Read",1
"M20317208","Ceiling","Control","Control","Control","Read",1
"M2033128","Ceiling","Control","Control","Control","Read",1
"M20322322","Ceiling","Control","Control","Control","Read",1
"20322440","Ceiling","Control","Control","Control","Read",1
"M20321393","Ceiling","Control","Control","Control","Read",1
"m20319677","Ceiling","Control","Presented","Control","Read",0
"M20323930","Ceiling","Control","Control","Control","Read",1
"M20304792_AEM","Ceiling","Control","Control","Control","Read",1
"20327605","Ceiling","Control","Control","Control","Read",1
"M20322809","Ceiling","Control","Control","Control","Read",1
"M20324255","Ceiling","Control","Control","Control","Read",1
"M20316111_ARD","Ceiling","Control","Presented","Control","Read",0
"M20320940","Ceiling","Control","Control","Control","Read",1
"m20319677","Cheetah","Presented","Presented","Related","Read",1
"M20320940","Cheetah","Presented","Control","Related","Read",0
"M20317208","Cheetah","Presented","Presented","Related","Read",1
"M2033128","Cheetah","Presented","Presented","Related","Read",1
"M20321393","Cheetah","Presented","Presented","Related","Read",1
"20322440","Cheetah","Presented","Presented","Related","Read",1
"M20322809","Cheetah","Presented","Presented","Related","Read",1
"20327605","Cheetah","Presented","Presented","Related","Read",1
"M20304792_AEM","Cheetah","Presented","Presented","Related","Read",1
"M20323930","Cheetah","Presented","Presented","Related","Read",1
"M20316111_ARD","Cheetah","Presented","Presented","Related","Read",1
"M20322322","Cheetah","Presented","Presented","Related","Read",1
"M20324255","Cheetah","Presented","Presented","Related","Read",1
"20327605","Cherry","Control","Control","Control","Read",1
"M20322322","Cherry","Control","Control","Control","Read",1
"M20322809","Cherry","Control","Control","Control","Read",1
"M2033128","Cherry","Control","Presented","Control","Read",0
"M20316111_ARD","Cherry","Control","Control","Control","Read",1
"20322440","Cherry","Control","Control","Control","Read",1
"m20319677","Cherry","Control","Control","Control","Read",1
"M20321393","Cherry","Control","Control","Control","Read",1
"M20320940","Cherry","Control","Control","Control","Read",1
"M20304792_AEM","Cherry","Control","Control","Control","Read",1
"M20317208","Cherry","Control","Presented","Control","Read",0
"M20324255","Cherry","Control","Control","Control","Read",1
"M20323930","Cherry","Control","Presented","Control","Read",0
"M20324255","Cloud","Control","Control","Control","Read",1
"20327605","Cloud","Control","Control","Control","Read",1
"M20320940","Cloud","Control","Presented","Control","Read",0
"M20322322","Cloud","Control","Control","Control","Read",1
"M20316111_ARD","Cloud","Control","Control","Control","Read",1
"M20304792_AEM","Cloud","Control","Control","Control","Read",1
"M20317208","Cloud","Control","Control","Control","Read",1
"20322440","Cloud","Control","Control","Control","Read",1
"M20323930","Cloud","Control","Control","Control","Read",1
"m20319677","Cloud","Control","Control","Control","Read",1
"M20321393","Cloud","Control","Presented","Control","Read",0
"M20322809","Cloud","Control","Presented","Control","Read",0
"M2033128","Cloud","Control","Control","Control","Read",1
"M20320940","Cold","Presented","Presented","Unrelated","Read",1
"M20304792_AEM","Cold","Presented","Control","Unrelated","Read",0
"M20322809","Cold","Presented","Presented","Unrelated","Read",1
"M20322322","Cold","Presented","Presented","Unrelated","Read",1
"20322440","Cold","Presented","Control","Unrelated","Read",0
"20327605","Cold","Presented","Presented","Unrelated","Read",1
"m20319677","Cold","Presented","Presented","Unrelated","Read",1
"M20316111_ARD","Cold","Presented","Presented","Unrelated","Read",1
"M20324255","Cold","Presented","Presented","Unrelated","Read",1
"M20321393","Cold","Presented","Presented","Unrelated","Read",1
"M20323930","Cold","Presented","Control","Unrelated","Read",0
"M20317208","Cold","Presented","Presented","Unrelated","Read",1
"M2033128","Cold","Presented","Presented","Unrelated","Read",1
"M20316111_ARD","Computer","Presented","Presented","Unrelated","Read",1
"20327605","Computer","Presented","Presented","Unrelated","Read",1
"M20317208","Computer","Presented","Presented","Unrelated","Read",1
"M2033128","Computer","Presented","Control","Unrelated","Read",0
"M20324255","Computer","Presented","Presented","Unrelated","Read",1
"20322440","Computer","Presented","Control","Unrelated","Read",0
"M20322809","Computer","Presented","Control","Unrelated","Read",0
"M20320940","Computer","Presented","Presented","Unrelated","Read",1
"M20321393","Computer","Presented","Presented","Unrelated","Read",1
"M20304792_AEM","Computer","Presented","Control","Unrelated","Read",0
"m20319677","Computer","Presented","Control","Unrelated","Read",0
"M20322322","Computer","Presented","Presented","Unrelated","Read",1
"M20323930","Computer","Presented","Presented","Unrelated","Read",1
"M20323930","Cook","Control","Control","Control","Read",1
"M20320940","Cook","Control","Presented","Control","Read",0
"M20322809","Cook","Control","Presented","Control","Read",0
"M20316111_ARD","Cook","Control","Control","Control","Read",1
"M20321393","Cook","Control","Control","Control","Read",1
"20327605","Cook","Control","Control","Control","Read",1
"m20319677","Cook","Control","Control","Control","Read",1
"M20324255","Cook","Control","Control","Control","Read",1
"M2033128","Cook","Control","Control","Control","Read",1
"M20322322","Cook","Control","Control","Control","Read",1
"M20304792_AEM","Cook","Control","Control","Control","Read",1
"M20317208","Cook","Control","Control","Control","Read",1
"20322440","Cook","Control","Control","Control","Read",1
"M20322809","Cow","Presented","Presented","Related","Read",1
"20327605","Cow","Presented","Presented","Related","Read",1
"M20316111_ARD","Cow","Presented","Control","Related","Read",0
"M20320940","Cow","Presented","Presented","Related","Read",1
"M20323930","Cow","Presented","Presented","Related","Read",1
"M20324255","Cow","Presented","Presented","Related","Read",1
"M20317208","Cow","Presented","Presented","Related","Read",1
"M20322322","Cow","Presented","Presented","Related","Read",1
"M20304792_AEM","Cow","Presented","Presented","Related","Read",1
"M2033128","Cow","Presented","Presented","Related","Read",1
"20322440","Cow","Presented","Control","Related","Read",0
"m20319677","Cow","Presented","Presented","Related","Read",1
"M20321393","Cow","Presented","Presented","Related","Read",1
"20327605","Cruise","Presented","Control","Unrelated","Read",0
"M20316111_ARD","Cruise","Presented","Control","Unrelated","Read",0
"20322440","Cruise","Presented","Presented","Unrelated","Read",1
"M20323930","Cruise","Presented","Presented","Unrelated","Read",1
"M20320940","Cruise","Presented","Presented","Unrelated","Read",1
"M20322809","Cruise","Presented","Presented","Unrelated","Read",1
"M20321393","Cruise","Presented","Presented","Unrelated","Read",1
"M20324255","Cruise","Presented","Presented","Unrelated","Read",1
"M20317208","Cruise","Presented","Presented","Unrelated","Read",1
"m20319677","Cruise","Presented","Presented","Unrelated","Read",1
"M20322322","Cruise","Presented","Presented","Unrelated","Read",1
"M2033128","Cruise","Presented","Control","Unrelated","Read",0
"M20304792_AEM","Cruise","Presented","Control","Unrelated","Read",0
"M20321393","Dirt","Control","Presented","Control","Read",0
"M20323930","Dirt","Control","Control","Control","Read",1
"M20322322","Dirt","Control","Control","Control","Read",1
"M20320940","Dirt","Control","Control","Control","Read",1
"M20317208","Dirt","Control","Control","Control","Read",1
"20327605","Dirt","Control","Control","Control","Read",1
"M20324255","Dirt","Control","Control","Control","Read",1
"M20322809","Dirt","Control","Control","Control","Read",1
"M20304792_AEM","Dirt","Control","Control","Control","Read",1
"m20319677","Dirt","Control","Control","Control","Read",1
"M20316111_ARD","Dirt","Control","Control","Control","Read",1
"20322440","Dirt","Control","Control","Control","Read",1
"M2033128","Dirt","Control","Control","Control","Read",1
"M20316111_ARD","Document","Control","Control","Control","Read",1
"M20322322","Document","Control","Control","Control","Read",1
"M20304792_AEM","Document","Control","Control","Control","Read",1
"M20321393","Document","Control","Presented","Control","Read",0
"M20324255","Document","Control","Control","Control","Read",1
"M20322809","Document","Control","Presented","Control","Read",0
"M20320940","Document","Control","Presented","Control","Read",0
"M2033128","Document","Control","Control","Control","Read",1
"20322440","Document","Control","Control","Control","Read",1
"20327605","Document","Control","Control","Control","Read",1
"m20319677","Document","Control","Control","Control","Read",1
"M20323930","Document","Control","Control","Control","Read",1
"M20317208","Document","Control","Control","Control","Read",1
"M20317208","Dollar","Presented","Presented","Unrelated","Read",1
"M20316111_ARD","Dollar","Presented","Control","Unrelated","Read",0
"20322440","Dollar","Presented","Control","Unrelated","Read",0
"M20322322","Dollar","Presented","Presented","Unrelated","Read",1
"m20319677","Dollar","Presented","Presented","Unrelated","Read",1
"M20323930","Dollar","Presented","Presented","Unrelated","Read",1
"M20320940","Dollar","Presented","Control","Unrelated","Read",0
"M20321393","Dollar","Presented","Presented","Unrelated","Read",1
"M20322809","Dollar","Presented","Control","Unrelated","Read",0
"M20304792_AEM","Dollar","Presented","Control","Unrelated","Read",0
"M2033128","Dollar","Presented","Control","Unrelated","Read",0
"20327605","Dollar","Presented","Presented","Unrelated","Read",1
"M20324255","Dollar","Presented","Control","Unrelated","Read",0
"20322440","Donkey","Presented","Control","Related","Read",0
"M20322809","Donkey","Presented","Presented","Related","Read",1
"M20320940","Donkey","Presented","Control","Related","Read",0
"M20304792_AEM","Donkey","Presented","Presented","Related","Read",1
"M20324255","Donkey","Presented","Presented","Related","Read",1
"M20321393","Donkey","Presented","Control","Related","Read",0
"M20323930","Donkey","Presented","Presented","Related","Read",1
"M2033128","Donkey","Presented","Presented","Related","Read",1
"m20319677","Donkey","Presented","Control","Related","Read",0
"M20317208","Donkey","Presented","Presented","Related","Read",1
"M20322322","Donkey","Presented","Presented","Related","Read",1
"M20316111_ARD","Donkey","Presented","Control","Related","Read",0
"20327605","Donkey","Presented","Presented","Related","Read",1
"M20324255","Door","Control","Control","Control","Read",1
"M20322322","Door","Control","Control","Control","Read",1
"M20317208","Door","Control","Control","Control","Read",1
"M20322809","Door","Control","Control","Control","Read",1
"M20320940","Door","Control","Control","Control","Read",1
"M20316111_ARD","Door","Control","Control","Control","Read",1
"M20323930","Door","Control","Control","Control","Read",1
"M20304792_AEM","Door","Control","Control","Control","Read",1
"20322440","Door","Control","Control","Control","Read",1
"20327605","Door","Control","Presented","Control","Read",0
"m20319677","Door","Control","Control","Control","Read",1
"M20321393","Door","Control","Presented","Control","Read",0
"M2033128","Door","Control","Presented","Control","Read",0
"M20322322","Drill","Control","Control","Control","Read",1
"M20323930","Drill","Control","Control","Control","Read",1
"M20321393","Drill","Control","Presented","Control","Read",0
"M20316111_ARD","Drill","Control","Control","Control","Read",1
"M20322809","Drill","Control","Presented","Control","Read",0
"M20320940","Drill","Control","Presented","Control","Read",0
"m20319677","Drill","Control","Presented","Control","Read",0
"20327605","Drill","Control","Control","Control","Read",1
"M20304792_AEM","Drill","Control","Control","Control","Read",1
"20322440","Drill","Control","Control","Control","Read",1
"M2033128","Drill","Control","Control","Control","Read",1
"M20324255","Drill","Control","Control","Control","Read",1
"M20317208","Drill","Control","Control","Control","Read",1
"M20317208","Elephant","Presented","Presented","Related","Read",1
"M20304792_AEM","Elephant","Presented","Presented","Related","Read",1
"20322440","Elephant","Presented","Presented","Related","Read",1
"m20319677","Elephant","Presented","Presented","Related","Read",1
"M20322809","Elephant","Presented","Presented","Related","Read",1
"M20321393","Elephant","Presented","Presented","Related","Read",1
"M20316111_ARD","Elephant","Presented","Presented","Related","Read",1
"M20322322","Elephant","Presented","Presented","Related","Read",1
"M20320940","Elephant","Presented","Control","Related","Read",0
"20327605","Elephant","Presented","Presented","Related","Read",1
"M20323930","Elephant","Presented","Presented","Related","Read",1
"M2033128","Elephant","Presented","Presented","Related","Read",1
"M20324255","Elephant","Presented","Presented","Related","Read",1
"20327605","Elevator","Control","Control","Control","Read",1
"M20322809","Elevator","Control","Control","Control","Read",1
"M20317208","Elevator","Control","Presented","Control","Read",0
"20322440","Elevator","Control","Control","Control","Read",1
"M20316111_ARD","Elevator","Control","Control","Control","Read",1
"m20319677","Elevator","Control","Control","Control","Read",1
"M2033128","Elevator","Control","Control","Control","Read",1
"M20322322","Elevator","Control","Control","Control","Read",1
"M20320940","Elevator","Control","Presented","Control","Read",0
"M20323930","Elevator","Control","Control","Control","Read",1
"M20324255","Elevator","Control","Control","Control","Read",1
"M20304792_AEM","Elevator","Control","Control","Control","Read",1
"M20321393","Elevator","Control","Control","Control","Read",1
"M20304792_AEM","Eye","Presented","Presented","Unrelated","Read",1
"M20324255","Eye","Presented","Presented","Unrelated","Read",1
"M20321393","Eye","Presented","Presented","Unrelated","Read",1
"M20317208","Eye","Presented","Presented","Unrelated","Read",1
"M2033128","Eye","Presented","Presented","Unrelated","Read",1
"M20322809","Eye","Presented","Presented","Unrelated","Read",1
"M20323930","Eye","Presented","Presented","Unrelated","Read",1
"m20319677","Eye","Presented","Control","Unrelated","Read",0
"M20322322","Eye","Presented","Presented","Unrelated","Read",1
"M20320940","Eye","Presented","Control","Unrelated","Read",0
"20327605","Eye","Presented","Presented","Unrelated","Read",1
"20322440","Eye","Presented","Presented","Unrelated","Read",1
"M20316111_ARD","Eye","Presented","Presented","Unrelated","Read",1
"M20317208","Flea","Control","Control","Control","Read",1
"M20320940","Flea","Control","Control","Control","Read",1
"M20316111_ARD","Flea","Control","Control","Control","Read",1
"20322440","Flea","Control","Control","Control","Read",1
"m20319677","Flea","Control","Control","Control","Read",1
"M20304792_AEM","Flea","Control","Control","Control","Read",1
"M20322809","Flea","Control","Control","Control","Read",1
"M20324255","Flea","Control","Control","Control","Read",1
"20327605","Flea","Control","Control","Control","Read",1
"M20322322","Flea","Control","Control","Control","Read",1
"M20323930","Flea","Control","Presented","Control","Read",0
"M20321393","Flea","Control","Control","Control","Read",1
"M2033128","Flea","Control","Presented","Control","Read",0
"M2033128","Floor","Control","Presented","Control","Read",0
"M20323930","Floor","Control","Control","Control","Read",1
"M20324255","Floor","Control","Control","Control","Read",1
"M20321393","Floor","Control","Presented","Control","Read",0
"M20322322","Floor","Control","Control","Control","Read",1
"20322440","Floor","Control","Control","Control","Read",1
"M20320940","Floor","Control","Control","Control","Read",1
"m20319677","Floor","Control","Control","Control","Read",1
"M20322809","Floor","Control","Control","Control","Read",1
"M20304792_AEM","Floor","Control","Presented","Control","Read",0
"20327605","Floor","Control","Control","Control","Read",1
"M20317208","Floor","Control","Control","Control","Read",1
"M20316111_ARD","Floor","Control","Control","Control","Read",1
"M20320940","Flute","Control","Control","Control","Read",1
"m20319677","Flute","Control","Control","Control","Read",1
"M2033128","Flute","Control","Control","Control","Read",1
"M20321393","Flute","Control","Presented","Control","Read",0
"20327605","Flute","Control","Control","Control","Read",1
"M20322809","Flute","Control","Control","Control","Read",1
"M20316111_ARD","Flute","Control","Control","Control","Read",1
"M20317208","Flute","Control","Control","Control","Read",1
"M20323930","Flute","Control","Presented","Control","Read",0
"20322440","Flute","Control","Control","Control","Read",1
"M20304792_AEM","Flute","Control","Control","Control","Read",1
"M20324255","Flute","Control","Control","Control","Read",1
"M20322322","Flute","Control","Control","Control","Read",1
"M20323930","Fly","Presented","Presented","Unrelated","Read",1
"M20322809","Fly","Presented","Control","Unrelated","Read",0
"20327605","Fly","Presented","Presented","Unrelated","Read",1
"M20322322","Fly","Presented","Presented","Unrelated","Read",1
"M20321393","Fly","Presented","Presented","Unrelated","Read",1
"M20324255","Fly","Presented","Presented","Unrelated","Read",1
"m20319677","Fly","Presented","Control","Unrelated","Read",0
"M20317208","Fly","Presented","Presented","Unrelated","Read",1
"20322440","Fly","Presented","Presented","Unrelated","Read",1
"M20320940","Fly","Presented","Control","Unrelated","Read",0
"M20304792_AEM","Fly","Presented","Control","Unrelated","Read",0
"M20316111_ARD","Fly","Presented","Presented","Unrelated","Read",1
"M2033128","Fly","Presented","Presented","Unrelated","Read",1
"20322440","Fossil","Control","Control","Control","Read",1
"M20316111_ARD","Fossil","Control","Control","Control","Read",1
"20327605","Fossil","Control","Presented","Control","Read",0
"M20324255","Fossil","Control","Control","Control","Read",1
"M2033128","Fossil","Control","Control","Control","Read",1
"M20323930","Fossil","Control","Control","Control","Read",1
"M20322809","Fossil","Control","Presented","Control","Read",0
"M20304792_AEM","Fossil","Control","Control","Control","Read",1
"M20317208","Fossil","Control","Control","Control","Read",1
"M20320940","Fossil","Control","Presented","Control","Read",0
"M20321393","Fossil","Control","Control","Control","Read",1
"M20322322","Fossil","Control","Control","Control","Read",1
"m20319677","Fossil","Control","Control","Control","Read",1
"20327605","Frog","Control","Control","Control","Read",1
"M20304792_AEM","Frog","Control","Control","Control","Read",1
"M20321393","Frog","Control","Presented","Control","Read",0
"M20322809","Frog","Control","Presented","Control","Read",0
"M20323930","Frog","Control","Presented","Control","Read",0
"20322440","Frog","Control","Control","Control","Read",1
"M20316111_ARD","Frog","Control","Control","Control","Read",1
"M20322322","Frog","Control","Control","Control","Read",1
"M2033128","Frog","Control","Control","Control","Read",1
"m20319677","Frog","Control","Control","Control","Read",1
"M20324255","Frog","Control","Control","Control","Read",1
"M20317208","Frog","Control","Control","Control","Read",1
"M20320940","Frog","Control","Presented","Control","Read",0
"M20322809","Girraffe","Presented","Presented","Related","Read",1
"M20322322","Girraffe","Presented","Presented","Related","Read",1
"M20323930","Girraffe","Presented","Presented","Related","Read",1
"M2033128","Girraffe","Presented","Control","Related","Read",0
"M20317208","Girraffe","Presented","Presented","Related","Read",1
"M20316111_ARD","Girraffe","Presented","Presented","Related","Read",1
"M20320940","Girraffe","Presented","Presented","Related","Read",1
"20327605","Girraffe","Presented","Presented","Related","Read",1
"20322440","Girraffe","Presented","Presented","Related","Read",1
"M20324255","Girraffe","Presented","Presented","Related","Read",1
"M20304792_AEM","Girraffe","Presented","Presented","Related","Read",1
"m20319677","Girraffe","Presented","Presented","Related","Read",1
"M20321393","Girraffe","Presented","Presented","Related","Read",1
"M20320940","Glacier","Presented","Control","Related","Read",0
"M20324255","Glacier","Presented","Presented","Related","Read",1
"m20319677","Glacier","Presented","Presented","Related","Read",1
"M20321393","Glacier","Presented","Control","Related","Read",0
"M20304792_AEM","Glacier","Presented","Presented","Related","Read",1
"20322440","Glacier","Presented","Presented","Related","Read",1
"M2033128","Glacier","Presented","Presented","Related","Read",1
"M20322809","Glacier","Presented","Presented","Related","Read",1
