Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD
abscesses,7,6,6,5,0.14,0.9031,0.07,0.8451
abscond,5,5,5,5,0.1,0.7782,0.06,0.7782
absconded,5,5,5,5,0.1,0.7782,0.06,0.7782
absconder,1,1,1,1,0.02,0.301,0.01,0.301
absconders,2,2,2,2,0.04,0.4771,0.02,0.4771
absconding,3,3,3,3,0.06,0.6021,0.04,0.6021
abseiling,1,1,1,1,0.02,0.301,0.01,0.301
absence,322,285,314,281,6.31,2.5092,3.4,2.4564
absences,14,12,14,12,0.27,1.1761,0.14,1.1139
absent,131,111,117,100,2.57,2.1206,1.32,2.0492
absentee,18,18,18,18,0.35,1.2788,0.21,1.2788
absenteeism,5,5,5,5,0.1,0.7782,0.06,0.7782
absentees,4,4,4,4,0.08,0.699,0.05,0.699
absentia,9,8,9,8,0.18,1,0.1,0.9542
absenting,2,2,1,1,0.04,0.4771,0.02,0.4771
absentminded,3,2,3,2,0.06,0.6021,0.02,0.4771
absentmindedness,1,1,1,1,0.02,0.301,0.01,0.301
absinthe,28,15,16,9,0.55,1.4624,0.18,1.2041
absinthes,3,1,3,1,0.06,0.6021,0.01,0.301
absinthium,1,1,1,1,0.02,0.301,0.01,0.301
absit,1,1,1,1,0.02,0.301,0.01,0.301
absolute,577,491,529,459,11.31,2.7619,5.85,2.692
absolutely,5769,3291,3032,2053,113.12,3.7612,39.23,3.5175
Absoluteness,1,1,0,0,0.02,0.301,0.01,0.301
absolutes,21,16,20,15,0.41,1.3424,0.19,1.2304
absolution,48,43,47,43,0.94,1.6902,0.51,1.6435
Absolutions,1,1,0,0,0.02,0.301,0.01,0.301
absolve,29,25,27,24,0.57,1.4771,0.3,1.415
absolved,15,15,15,15,0.29,1.2041,0.18,1.2041
Absolver,4,1,0,0,0.08,0.699,0.01,0.301
absolves,4,3,4,3,0.08,0.699,0.04,0.6021
absolving,5,5,5,5,0.1,0.7782,0.06,0.7782
absorb,101,92,99,91,1.98,2.0086,1.1,1.9685
absorbed,78,71,74,67,1.53,1.8976,0.85,1.8573
absorbent,8,8,7,7,0.16,0.9542,0.1,0.9542
absorber,3,3,3,3,0.06,0.6021,0.04,0.6021
absorbers,8,6,8,6,0.16,0.9542,0.07,0.8451
absorbing,23,21,21,19,0.45,1.3802,0.25,1.3424
absorbs,25,25,24,24,0.49,1.415,0.3,1.415
Absorbtion,3,1,1,1,0.06,0.6021,0.01,0.301
absorption,18,17,16,15,0.35,1.2788,0.2,1.2553
absorptions,1,1,1,1,0.02,0.301,0.01,0.301
abstain,26,19,18,17,0.51,1.4314,0.23,1.301
abstained,4,4,4,4,0.08,0.699,0.05,0.699
Abstainers,1,1,0,0,0.02,0.301,0.01,0.301
abstaining,8,8,7,7,0.16,0.9542,0.1,0.9542
abstains,2,2,2,2,0.04,0.4771,0.02,0.4771
abstention,6,5,6,5,0.12,0.8451,0.06,0.7782
abstentions,1,1,1,1,0.02,0.301,0.01,0.301
abstinence,45,28,34,25,0.88,1.6628,0.33,1.4624
abstinent,3,2,2,2,0.06,0.6021,0.02,0.4771
abstract,111,82,104,79,2.18,2.0492,0.98,1.9191
abstracted,3,3,3,3,0.06,0.6021,0.04,0.6021
Abstracting,1,1,0,0,0.02,0.301,0.01,0.301
abstraction,15,11,13,11,0.29,1.2041,0.13,1.0792
abstractionist,1,1,1,1,0.02,0.301,0.01,0.301
abstractions,5,4,5,4,0.1,0.7782,0.05,0.699
abstractly,2,2,2,2,0.04,0.4771,0.02,0.4771
abstracts,7,7,5,5,0.14,0.9031,0.08,0.9031
abstruse,3,3,3,3,0.06,0.6021,0.04,0.6021
absurd,495,397,467,378,9.71,2.6955,4.73,2.5999
absurdist,1,1,1,1,0.02,0.301,0.01,0.301
absurdities,6,6,6,6,0.12,0.8451,0.07,0.8451
absurdity,32,31,32,31,0.63,1.5185,0.37,1.5051
absurdly,15,15,13,13,0.29,1.2041,0.18,1.2041
abt,11,5,7,3,0.22,1.0792,0.06,0.7782
Abu,131,29,0,0,2.57,2.1206,0.35,1.4771
abulia,1,1,1,1,0.02,0.301,0.01,0.301
abundance,45,41,45,41,0.88,1.6628,0.49,1.6232
abundant,29,26,28,25,0.57,1.4771,0.31,1.4314
abundantly,21,21,21,21,0.41,1.3424,0.25,1.3424
abuse,523,409,503,396,10.25,2.7193,4.88,2.6128
abused,231,184,226,181,4.53,2.3655,2.19,2.2672
abuser,16,16,16,16,0.31,1.2304,0.19,1.2304
abusers,11,10,11,10,0.22,1.0792,0.12,1.0414
abuses,25,23,21,21,0.49,1.415,0.27,1.3802
abusing,61,55,61,55,1.2,1.7924,0.66,1.7482
abusive,83,81,81,79,1.63,1.9243,0.97,1.9138
abusiveness,1,1,1,1,0.02,0.301,0.01,0.301
abut,6,5,6,5,0.12,0.8451,0.06,0.7782
abutment,6,5,6,5,0.12,0.8451,0.06,0.7782
abutments,1,1,1,1,0.02,0.301,0.01,0.301
abuts,2,2,2,2,0.04,0.4771,0.02,0.4771
abutting,1,1,1,1,0.02,0.301,0.01,0.301
abuzz,2,2,2,2,0.04,0.4771,0.02,0.4771
abysmal,21,18,20,18,0.41,1.3424,0.21,1.2788
abysmally,1,1,1,1,0.02,0.301,0.01,0.301
abyss,90,67,77,62,1.76,1.959,0.8,1.8325
abyssal,1,1,1,1,0.02,0.301,0.01,0.301
abysses,2,2,2,2,0.04,0.4771,0.02,0.4771
Abyssinia,8,5,0,0,0.16,0.9542,0.06,0.7782
Abyssinian,9,7,3,1,0.18,1,0.08,0.9031
abyssus,4,4,4,4,0.08,0.699,0.05,0.699
Ac,110,88,6,5,2.16,2.0453,1.05,1.9494
acacia,8,7,4,3,0.16,0.9542,0.08,0.9031
academe,2,2,2,2,0.04,0.4771,0.02,0.4771
academes,1,1,1,1,0.02,0.301,0.01,0.301
academia,12,12,10,10,0.24,1.1139,0.14,1.1139
academic,238,181,215,172,4.67,2.3784,2.16,2.2601
academically,11,10,9,8,0.22,1.0792,0.12,1.0414
academician,1,1,1,1,0.02,0.301,0.01,0.301
academics,35,31,33,30,0.69,1.5563,0.37,1.5051
academies,7,7,7,7,0.14,0.9031,0.08,0.9031
Academy,633,345,284,156,12.41,2.8021,4.11,2.5391
Acadia,3,3,0,0,0.06,0.6021,0.04,0.6021
acanthus,1,1,1,1,0.02,0.301,0.01,0.301
Acapulco,82,56,0,0,1.61,1.9191,0.67,1.7559
acc,8,8,4,4,0.16,0.9542,0.1,0.9542
Accademia,1,1,0,0,0.02,0.301,0.01,0.301
Accadian,1,1,0,0,0.02,0.301,0.01,0.301
accede,7,7,7,7,0.14,0.9031,0.08,0.9031
acceded,1,1,1,1,0.02,0.301,0.01,0.301
accelerant,28,13,25,13,0.55,1.4624,0.15,1.1461
accelerate,65,53,55,45,1.27,1.8195,0.63,1.7324
accelerated,49,42,43,38,0.96,1.699,0.5,1.6335
accelerates,5,5,5,5,0.1,0.7782,0.06,0.7782
accelerating,45,38,38,34,0.88,1.6628,0.45,1.5911
acceleration,44,37,38,33,0.86,1.6532,0.44,1.5798
accelerator,69,47,66,45,1.35,1.8451,0.56,1.6812
accelerators,4,3,3,2,0.08,0.699,0.04,0.6021
accent,621,447,595,438,12.18,2.7938,5.33,2.6513
accented,1,1,1,1,0.02,0.301,0.01,0.301
accents,58,56,57,55,1.14,1.7709,0.67,1.7559
accentuate,18,12,15,10,0.35,1.2788,0.14,1.1139
accentuated,2,2,2,2,0.04,0.4771,0.02,0.4771
accentuates,4,4,4,4,0.08,0.699,0.05,0.699
accentuating,1,1,1,1,0.02,0.301,0.01,0.301
accept,2692,1861,2598,1820,52.78,3.4302,22.19,3.27
acceptable,269,243,256,235,5.27,2.4314,2.9,2.3874
acceptance,161,140,150,134,3.16,2.2095,1.67,2.1492
acceptances,2,2,2,2,0.04,0.4771,0.02,0.4771
acceptant,1,1,1,1,0.02,0.301,0.01,0.301
accepted,801,658,780,645,15.71,2.9042,7.84,2.8189
accepting,206,195,182,174,4.04,2.316,2.32,2.2923
accepts,106,97,106,97,2.08,2.0294,1.16,1.9912
access,1615,923,1483,879,31.67,3.2084,11,2.9657
accessed,78,62,75,61,1.53,1.8976,0.74,1.7993
accesses,2,2,2,2,0.04,0.4771,0.02,0.4771
accessibility,2,2,2,2,0.04,0.4771,0.02,0.4771
accessible,56,50,56,50,1.1,1.7559,0.6,1.7076
accessing,53,47,40,36,1.04,1.7324,0.56,1.6812
accession,6,3,6,3,0.12,0.8451,0.04,0.6021
accessories,76,71,68,63,1.49,1.8865,0.85,1.8573
accessorise,1,1,1,1,0.02,0.301,0.01,0.301
accessorize,18,18,17,17,0.35,1.2788,0.21,1.2788
accessorized,2,2,2,2,0.04,0.4771,0.02,0.4771
accessorizing,6,6,6,6,0.12,0.8451,0.07,0.8451
accessory,147,125,141,122,2.88,2.1703,1.49,2.1004
accident,4146,2180,4061,2166,81.29,3.6177,25.99,3.3387
accidental,153,134,138,123,3,2.1875,1.6,2.1303
accidentally,449,397,436,388,8.8,2.6532,4.73,2.5999
accidentals,1,1,1,1,0.02,0.301,0.01,0.301
accidently,11,10,11,10,0.22,1.0792,0.12,1.0414
accidents,340,281,289,244,6.67,2.5328,3.35,2.4502
acclaim,22,19,22,19,0.43,1.3617,0.23,1.301
acclaimed,20,20,20,20,0.39,1.3222,0.24,1.3222
acclaims,2,2,2,2,0.04,0.4771,0.02,0.4771
acclamation,1,1,1,1,0.02,0.301,0.01,0.301
acclimate,8,8,8,8,0.16,0.9542,0.1,0.9542
acclimated,10,8,9,8,0.2,1.0414,0.1,0.9542
acclimates,1,1,1,1,0.02,0.301,0.01,0.301
acclimating,3,3,3,3,0.06,0.6021,0.04,0.6021
acclimatization,1,1,1,1,0.02,0.301,0.01,0.301
acclimatize,1,1,1,1,0.02,0.301,0.01,0.301
acclimatized,2,2,2,2,0.04,0.4771,0.02,0.4771
accolade,1,1,1,1,0.02,0.301,0.01,0.301
accolades,9,9,9,9,0.18,1,0.11,1
accommodate,109,106,109,106,2.14,2.0414,1.26,2.0294
accommodated,5,5,5,5,0.1,0.7782,0.06,0.7782
accommodates,3,3,3,3,0.06,0.6021,0.04,0.6021
accommodating,36,32,36,32,0.71,1.5682,0.38,1.5185
accommodation,48,45,44,42,0.94,1.6902,0.54,1.6628
accommodations,85,81,83,79,1.67,1.9345,0.97,1.9138
accommodative,1,1,1,1,0.02,0.301,0.01,0.301
accomodate,6,4,6,4,0.12,0.8451,0.05,0.699
accompanied,105,98,101,95,2.06,2.0253,1.17,1.9956
accompanier,1,1,1,1,0.02,0.301,0.01,0.301
accompanies,13,13,13,13,0.25,1.1461,0.15,1.1461
accompaniment,15,13,15,13,0.29,1.2041,0.15,1.1461
accompanist,10,8,10,8,0.2,1.0414,0.1,0.9542
accompanists,1,1,1,1,0.02,0.301,0.01,0.301
accompany,242,213,233,209,4.75,2.3856,2.54,2.3304
accompanying,47,45,43,41,0.92,1.6812,0.54,1.6628
accompli,8,8,8,8,0.16,0.9542,0.1,0.9542
accomplice,216,147,210,145,4.24,2.3365,1.75,2.1703
accomplices,58,50,57,50,1.14,1.7709,0.6,1.7076
accomplish,298,263,297,263,5.84,2.4757,3.14,2.4216
accomplished,384,346,380,342,7.53,2.5855,4.12,2.5403
accomplishes,7,7,7,7,0.14,0.9031,0.08,0.9031
accomplishing,26,24,26,24,0.51,1.4314,0.29,1.3979
accomplishment,96,87,95,86,1.88,1.9868,1.04,1.9445
accomplishments,81,75,80,75,1.59,1.9138,0.89,1.8808
accord,83,66,77,63,1.63,1.9243,0.79,1.8261
accordable,1,1,1,1,0.02,0.301,0.01,0.301
accordance,81,66,81,66,1.59,1.9138,0.79,1.8261
accorded,7,6,7,6,0.14,0.9031,0.07,0.8451
According,2135,1571,1006,837,41.86,3.3296,18.73,3.1965
accordingly,93,89,80,77,1.82,1.9731,1.06,1.9542
accordion,67,46,63,44,1.31,1.8325,0.55,1.6721
accordions,3,2,2,2,0.06,0.6021,0.02,0.4771
accords,9,9,8,8,0.18,1,0.11,1
accost,3,3,3,3,0.06,0.6021,0.04,0.6021
accosted,34,30,33,30,0.67,1.5441,0.36,1.4914
accosting,4,4,4,4,0.08,0.699,0.05,0.699
accosts,1,1,1,1,0.02,0.301,0.01,0.301
account,2280,1386,2253,1375,44.71,3.3581,16.52,3.1421
accountability,24,17,20,17,0.47,1.3979,0.2,1.2553
accountable,72,65,72,65,1.41,1.8633,0.77,1.8195
accountancy,3,2,2,2,0.06,0.6021,0.02,0.4771
accountant,315,191,303,185,6.18,2.4997,2.28,2.2833
accountants,55,47,52,45,1.08,1.7482,0.56,1.6812
accounted,154,140,152,138,3.02,2.1903,1.67,2.1492
accounting,230,179,186,151,4.51,2.3636,2.13,2.2553
accounts,534,391,521,385,10.47,2.7284,4.66,2.5933
accoutered,1,1,1,1,0.02,0.301,0.01,0.301
accoutre,1,1,1,1,0.02,0.301,0.01,0.301
accoutred,2,2,2,2,0.04,0.4771,0.02,0.4771
accoutrement,6,5,6,5,0.12,0.8451,0.06,0.7782
accoutrements,6,6,5,5,0.12,0.8451,0.07,0.8451
Accra,4,3,0,0,0.08,0.699,0.04,0.6021
accreditation,9,6,8,6,0.18,1,0.07,0.8451
accredited,16,13,16,13,0.31,1.2304,0.15,1.1461
accrediting,1,1,1,1,0.02,0.301,0.01,0.301
Accrete,1,1,0,0,0.02,0.301,0.01,0.301
accrual,2,2,2,2,0.04,0.4771,0.02,0.4771
accrue,4,4,4,4,0.08,0.699,0.05,0.699
accrued,13,12,12,12,0.25,1.1461,0.14,1.1139
accrues,1,1,1,1,0.02,0.301,0.01,0.301
accruing,2,2,2,2,0.04,0.4771,0.02,0.4771
accumulate,29,27,28,27,0.57,1.4771,0.32,1.4472
accumulated,39,38,38,37,0.76,1.6021,0.45,1.5911
accumulates,11,11,11,11,0.22,1.0792,0.13,1.0792
accumulating,18,18,17,17,0.35,1.2788,0.21,1.2788
accumulation,13,13,13,13,0.25,1.1461,0.15,1.1461
accumulations,1,1,1,1,0.02,0.301,0.01,0.301
accumulative,3,2,3,2,0.06,0.6021,0.02,0.4771
accumulator,1,1,1,1,0.02,0.301,0.01,0.301
accuracy,76,65,73,63,1.49,1.8865,0.77,1.8195
accurate,400,344,388,333,7.84,2.6031,4.1,2.5378
accurately,58,57,57,56,1.14,1.7709,0.68,1.7634
accursed,33,30,30,27,0.65,1.5315,0.36,1.4914
accusation,143,128,142,128,2.8,2.1584,1.53,2.1106
accusations,153,126,151,124,3,2.1875,1.5,2.1038
accusatory,3,3,3,3,0.06,0.6021,0.04,0.6021
accuse,290,233,281,229,5.69,2.4639,2.78,2.3692
accused,666,459,655,453,13.06,2.8241,5.47,2.6628
accuser,15,12,15,12,0.29,1.2041,0.14,1.1139
accusers,8,8,8,8,0.16,0.9542,0.1,0.9542
accuses,31,29,29,27,0.61,1.5051,0.35,1.4771
accusing,252,220,241,209,4.94,2.4031,2.62,2.3444
accustom,6,5,6,5,0.12,0.8451,0.06,0.7782
accustomed,149,133,143,132,2.92,2.1761,1.59,2.1271
Ace,751,321,357,220,14.73,2.8762,3.83,2.5079
aced,39,36,33,31,0.76,1.6021,0.43,1.5682
acentric,1,1,1,1,0.02,0.301,0.01,0.301
acerbic,4,4,4,4,0.08,0.699,0.05,0.699
aces,202,136,132,96,3.96,2.3075,1.62,2.1367
acetabulum,2,1,2,1,0.04,0.4771,0.01,0.301
acetaminophen,5,4,4,3,0.1,0.7782,0.05,0.699
acetate,6,5,5,4,0.12,0.8451,0.06,0.7782
acetates,1,1,1,1,0.02,0.301,0.01,0.301
acetic,1,1,1,1,0.02,0.301,0.01,0.301
acetone,8,7,7,6,0.16,0.9542,0.08,0.9031
Acetyl,2,2,0,0,0.04,0.4771,0.02,0.4771
Acetylcholine,7,6,3,3,0.14,0.9031,0.07,0.8451
acetylene,23,14,22,13,0.45,1.3802,0.17,1.1761
acetylsalicylic,4,2,4,2,0.08,0.699,0.02,0.4771
