"Sub.ID","Proportion.Correct","Condition.Description","Procedure.Procedure.Notes","Procedure.Shuffle","Condition.Notes","task","mem_type"
"5d7a87d2403e9d0001421932",0.6,"Global","","RECALL_Test","A","global","DRM"
"5d95fe287f664d0016591f9b",0.5,"Global","","RECALL_Test","A","global","DRM"
"5de12fbfe4f42a1842172d7a",0.2,"Global","","RECALL_Test","A","global","DRM"
"5e7d790c0d34ae3fef75c74e",0.8,"Global","","RECALL_Test","A","global","DRM"
"5f136634744bae3689117234",0.5,"Global","","RECALL_Test","A","global","DRM"
"60c9003363ca81b7d3b004a4",0.1,"Global","","RECALL_Test","A","global","DRM"
"634688391e61c68f25ca1f82",0.6,"Global","","RECALL_Test","A","global","DRM"
"649c2f4f97c521d83289c1d1",0.5,"Global","","RECALL_Test","A","global","DRM"
"6509ced499369f98b2c27874",0.3,"Global","","RECALL_Test","A","global","DRM"
"652942967dba4555fc1a912b",0.7,"Global","","RECALL_Test","A","global","DRM"
"653ad51a96ba72b4243e5c07",1.2,"Global","","RECALL_Test","A","global","DRM"
"654676d73282e9e8d26d129f",0.2,"Global","","RECALL_Test","A","global","DRM"
"657873a2a8c5516a28606b5e",0.6,"Global","","RECALL_Test","A","global","DRM"
"657f0b244c7490faace37f69",0.7,"Global","","RECALL_Test","A","global","DRM"
"6580b703bb0ff372f179abc7",0.9,"Global","","RECALL_Test","A","global","DRM"
"6581a18dca8e78410c031dfc",0.3,"Global","","RECALL_Test","A","global","DRM"
"65a961d8a6a64526a0d975a8",0.5,"Global","","RECALL_Test","A","global","DRM"
"65aa8b1b46af6e5c652bb438",0.3,"Global","","RECALL_Test","A","global","DRM"
"65cf94ff6f940c7cb023275a",0.2,"Global","","RECALL_Test","A","global","DRM"
"58de70ac1400fc0001207546",0.9,"Global","","RECALL_Test","B","global","DRM"
"5abc11e6e1099600016a3097",0.4,"Global","","RECALL_Test","B","global","DRM"
"5c0d8bca22f3eb000116c33d",0.6,"Global","","RECALL_Test","B","global","DRM"
"5e3878a934f9ab08e0394edd",0.1,"Global","","RECALL_Test","B","global","DRM"
"5e9631199066e50a678a68fa",0.5,"Global","","RECALL_Test","B","global","DRM"
"5ee1cf1e0df8e55c6b9e1f1a",0.2,"Global","","RECALL_Test","B","global","DRM"
"5f08dafa392f74145122c0ee",0.4,"Global","","RECALL_Test","B","global","DRM"
"5f597e39254a691df1186a21",0.2,"Global","","RECALL_Test","B","global","DRM"
"60282d2ffedb021342e2df15",0.2,"Global","","RECALL_Test","B","global","DRM"
"60bcc05d27b1017afc3373b5",0.2,"Global","","RECALL_Test","B","global","DRM"
"60fd01d7f7b981fdbe1f1b44",0.9,"Global","","RECALL_Test","B","global","DRM"
"6401041925b69c601d8c81eb",0.4,"Global","","RECALL_Test","B","global","DRM"
"644a6820397bfb1e30ec36c5",1.1,"Global","","RECALL_Test","B","global","DRM"
"647f96bddb4fd4db747f3ef4",0.5,"Global","","RECALL_Test","B","global","DRM"
"648868c355e5b891758c5767",0.3,"Global","","RECALL_Test","B","global","DRM"
"649cbefc9ac085131a41f626",0.4,"Global","","RECALL_Test","B","global","DRM"
"6501c1d3aaba684f01c57bde",0.4,"Global","","RECALL_Test","B","global","DRM"
"652fe1a6263f72bba81f4247",0.2,"Global","","RECALL_Test","B","global","DRM"
"6544501aa5c9cf6aa4ad5ed8",0.2,"Global","","RECALL_Test","B","global","DRM"
"6555036c583bbf5fc6e0d702",0.1,"Global","","RECALL_Test","B","global","DRM"
"65dd6ca1a06e762a792e26f2",0.6,"Global","","RECALL_Test","B","global","DRM"
"5ceebfea7a3448001a6dd6ee",0.575,"Item","","RECALL_Test","A","item","true"
"5dd1173e19eecb1b17f7e2e0",0.4,"Item","","RECALL_Test","A","item","true"
"5e72a539c600fa1efa380fb6",0.466666666666667,"Item","","RECALL_Test","A","item","true"
"5f19d9cd104f790880d55df4",0.525,"Item","","RECALL_Test","A","item","true"
"5f2f19107e19512f94ede28b",0.333333333333333,"Item","","RECALL_Test","A","item","true"
"5f516a44067fba1b4c562a55",0.641666666666667,"Item","","RECALL_Test","A","item","true"
"6012ed349807110d8eb941a6",0.691666666666667,"Item","","RECALL_Test","A","item","true"
"60dd27004a74c325f5b22e17",0.575,"Item","","RECALL_Test","A","item","true"
"62852271a105889fadd8f22d",0.583333333333333,"Item","","RECALL_Test","A","item","true"
"64e3d393ac102f840cff17c3",0.775,"Item","","RECALL_Test","A","item","true"
"6509ad3e10014974dfe2f77c",0.541666666666667,"Item","","RECALL_Test","A","item","true"
"650d93501453a03b44aa1d81",0.766666666666667,"Item","","RECALL_Test","A","item","true"
"653132d03514084477bbd338",0.783333333333333,"Item","","RECALL_Test","A","item","true"
"653913f75c3b77d3bf034279",0.908333333333333,"Item","","RECALL_Test","A","item","true"
"653add960ad23cfca6a8b567",0.566666666666667,"Item","","RECALL_Test","A","item","true"
"653ae856dc7a86e14632f667",0.666666666666667,"Item","","RECALL_Test","A","item","true"
"6542a7194b27c615b8a27e81",0.633333333333333,"Item","","RECALL_Test","A","item","true"
"6547a1d8f1d0ad1c23a984c5",0.683333333333333,"Item","","RECALL_Test","A","item","true"
"65cb5ab499be01f6d1779d43",0.5,"Item","","RECALL_Test","A","item","true"
"65dcce6f3df41cde066da14e",0.641666666666667,"Item","","RECALL_Test","A","item","true"
"65dfbadd99c181a9be318f88",0.575,"Item","","RECALL_Test","A","item","true"
"5b4038c63d066d0001608c1a",0.541666666666667,"Item","","RECALL_Test","B","item","true"
"5b52f4933234ab00014ca442",0.758333333333333,"Item","","RECALL_Test","B","item","true"
"5bc49417ed1c37000153362e",0.75,"Item","","RECALL_Test","B","item","true"
"5c0ca233632102000147c7db",0.508333333333333,"Item","","RECALL_Test","B","item","true"
"5c324470d071a2000143c82a",0.6,"Item","","RECALL_Test","B","item","true"
"5c3a5009fb7feb00014290f1",0.808333333333333,"Item","","RECALL_Test","B","item","true"
"5e9402c78b4a3c252eafa204",0.566666666666667,"Item","","RECALL_Test","B","item","true"
"5ea039beec66bd000ada5ad2",0.841666666666667,"Item","","RECALL_Test","B","item","true"
"5f088ba29bf08d0b3885f726",0.616666666666667,"Item","","RECALL_Test","B","item","true"
"60f329e791509f40c74a87ad",0.7,"Item","","RECALL_Test","B","item","true"
"60fd6c1e4094549dca27011b",0.491666666666667,"Item","","RECALL_Test","B","item","true"
"60fdcc57b7f29548ba9cf241",0.783333333333333,"Item","","RECALL_Test","B","item","true"
"60ff2b5ee0fd69cbf82cd071",0.75,"Item","","RECALL_Test","B","item","true"
"651034fa7c55c3ee48541486",0.566666666666667,"Item","","RECALL_Test","B","item","true"
"652dcc91bdb7756f2c02196e",0.375,"Item","","RECALL_Test","B","item","true"
"6542606b27d60bdd2772bb51",0.433333333333333,"Item","","RECALL_Test","B","item","true"
"6547b412f19087618a1f26b8",0.758333333333333,"Item","","RECALL_Test","B","item","true"
"6578d483e1b823c1a61469a6",0.708333333333333,"Item","","RECALL_Test","B","item","true"
"65a02d7da6ce53dcf5a603ab",0.6,"Item","","RECALL_Test","B","item","true"
"65aa571b068f34b4c4e2a648",0.741666666666667,"Item","","RECALL_Test","B","item","true"
"65dcb33f369862cba54b8546",0.733333333333333,"Item","","RECALL_Test","B","item","true"
"5ceebfea7a3448001a6dd6ee",0.5,"Item","","RECALL_Test","A","item","DRM"
"5dd1173e19eecb1b17f7e2e0",0.6,"Item","","RECALL_Test","A","item","DRM"
"5e72a539c600fa1efa380fb6",0.2,"Item","","RECALL_Test","A","item","DRM"
"5f19d9cd104f790880d55df4",1.1,"Item","","RECALL_Test","A","item","DRM"
"5f2f19107e19512f94ede28b",0.2,"Item","","RECALL_Test","A","item","DRM"
"5f516a44067fba1b4c562a55",0.3,"Item","","RECALL_Test","A","item","DRM"
"6012ed349807110d8eb941a6",0.4,"Item","","RECALL_Test","A","item","DRM"
"60dd27004a74c325f5b22e17",1,"Item","","RECALL_Test","A","item","DRM"
"62852271a105889fadd8f22d",0.7,"Item","","RECALL_Test","A","item","DRM"
"64e3d393ac102f840cff17c3",0.6,"Item","","RECALL_Test","A","item","DRM"
"6509ad3e10014974dfe2f77c",0.7,"Item","","RECALL_Test","A","item","DRM"
"650d93501453a03b44aa1d81",0.2,"Item","","RECALL_Test","A","item","DRM"
"653132d03514084477bbd338",0.4,"Item","","RECALL_Test","A","item","DRM"
"653913f75c3b77d3bf034279",0.4,"Item","","RECALL_Test","A","item","DRM"
"653add960ad23cfca6a8b567",0.2,"Item","","RECALL_Test","A","item","DRM"
"653ae856dc7a86e14632f667",0.2,"Item","","RECALL_Test","A","item","DRM"
"6542a7194b27c615b8a27e81",0.3,"Item","","RECALL_Test","A","item","DRM"
"6547a1d8f1d0ad1c23a984c5",0.6,"Item","","RECALL_Test","A","item","DRM"
"65cb5ab499be01f6d1779d43",0.7,"Item","","RECALL_Test","A","item","DRM"
"65dcce6f3df41cde066da14e",0.7,"Item","","RECALL_Test","A","item","DRM"
"65dfbadd99c181a9be318f88",0.4,"Item","","RECALL_Test","A","item","DRM"
"5b4038c63d066d0001608c1a",0.2,"Item","","RECALL_Test","B","item","DRM"
"5b52f4933234ab00014ca442",0.1,"Item","","RECALL_Test","B","item","DRM"
"5bc49417ed1c37000153362e",0.4,"Item","","RECALL_Test","B","item","DRM"
"5c0ca233632102000147c7db",0.5,"Item","","RECALL_Test","B","item","DRM"
"5c324470d071a2000143c82a",0.2,"Item","","RECALL_Test","B","item","DRM"
"5c3a5009fb7feb00014290f1",0.1,"Item","","RECALL_Test","B","item","DRM"
"5e9402c78b4a3c252eafa204",0.2,"Item","","RECALL_Test","B","item","DRM"
"5ea039beec66bd000ada5ad2",0.3,"Item","","RECALL_Test","B","item","DRM"
"5f088ba29bf08d0b3885f726",0.5,"Item","","RECALL_Test","B","item","DRM"
"60f329e791509f40c74a87ad",0.3,"Item","","RECALL_Test","B","item","DRM"
"60fd6c1e4094549dca27011b",0.7,"Item","","RECALL_Test","B","item","DRM"
"60fdcc57b7f29548ba9cf241",0.6,"Item","","RECALL_Test","B","item","DRM"
"60ff2b5ee0fd69cbf82cd071",0.6,"Item","","RECALL_Test","B","item","DRM"
"651034fa7c55c3ee48541486",0.4,"Item","","RECALL_Test","B","item","DRM"
"652dcc91bdb7756f2c02196e",0.2,"Item","","RECALL_Test","B","item","DRM"
"6542606b27d60bdd2772bb51",0.2,"Item","","RECALL_Test","B","item","DRM"
"6547b412f19087618a1f26b8",0.1,"Item","","RECALL_Test","B","item","DRM"
"6578d483e1b823c1a61469a6",0.3,"Item","","RECALL_Test","B","item","DRM"
"65a02d7da6ce53dcf5a603ab",0.7,"Item","","RECALL_Test","B","item","DRM"
"65aa571b068f34b4c4e2a648",0.9,"Item","","RECALL_Test","B","item","DRM"
"65dcb33f369862cba54b8546",0.2,"Item","","RECALL_Test","B","item","DRM"
"56a930c711926500056e6eed",0.333333333333333,"Read","","RECALL_Test","A","read","true"
"5ab87be55cd105000161a5a8",0.783333333333333,"Read","","RECALL_Test","A","read","true"
"5c3e18851580e9000122bdc9",0.65,"Read","","RECALL_Test","A","read","true"
"5c617b872026f300018082d1",0.508333333333333,"Read","","RECALL_Test","A","read","true"
"5cf12ddbf17e370017a278c5",0.7,"Read","","RECALL_Test","A","read","true"
"5ea556346fe116549c336fc9",0.608333333333333,"Read","","RECALL_Test","A","read","true"
"5f3c33aded53341b4d51098a",0.533333333333333,"Read","","RECALL_Test","A","read","true"
"5fde8fc3c0e40a651914c261",0.4,"Read","","RECALL_Test","A","read","true"
"600283ae7d89ab2946605950",0.566666666666667,"Read","","RECALL_Test","A","read","true"
"600998fe13039970cc5f3e7d",0.733333333333333,"Read","","RECALL_Test","A","read","true"
"602bcbe610c7c138a909e6e4",0.35,"Read","","RECALL_Test","A","read","true"
"6508f8468c5da4665628b834",0.591666666666667,"Read","","RECALL_Test","A","read","true"
"652ae31c79fb620c91ac5724",0.65,"Read","","RECALL_Test","A","read","true"
"6531340389e363d151089093",0.683333333333333,"Read","","RECALL_Test","A","read","true"
"655a67b1c4d20ea6c0dc83af",0.65,"Read","","RECALL_Test","A","read","true"
"6583773bb83c230e7271378c",0.833333333333333,"Read","","RECALL_Test","A","read","true"
"65a5f87383b1a063bbc99efd",0.491666666666667,"Read","","RECALL_Test","A","read","true"
"65abd3bc01581c2899e80591",0.475,"Read","","RECALL_Test","A","read","true"
"65b809f33b743d2d4d56bd08",0.675,"Read","","RECALL_Test","A","read","true"
"65de1d31c4db0e1398cdc3c9",0.391666666666667,"Read","","RECALL_Test","A","read","true"
"56d684fffc7879000c77d87f",0.741666666666667,"Read","","RECALL_Test","B","read","true"
"5abe9da9a3ba7a0001b46a18",0.441666666666667,"Read","","RECALL_Test","B","read","true"
"5b0d0beed282ff00015b9972",0.533333333333333,"Read","","RECALL_Test","B","read","true"
"5f49204552f5c40c486f55fc",0.666666666666667,"Read","","RECALL_Test","B","read","true"
"5f6e72f4f0d70a3c02af4ee6",0.708333333333333,"Read","","RECALL_Test","B","read","true"
"652fe805e19cd8c9d83c1456",0.541666666666667,"Read","","RECALL_Test","B","read","true"
"653001ecaa6552b09aa80c1e",0.15,"Read","","RECALL_Test","B","read","true"
"6537f925fee26ff5fdbc8b2f",0.725,"Read","","RECALL_Test","B","read","true"
"6543af72769aacc0bf14521e",0.533333333333333,"Read","","RECALL_Test","B","read","true"
"654a94537255c84744f86451",0.85,"Read","","RECALL_Test","B","read","true"
"657de4e312a15c00fa204959",0.483333333333333,"Read","","RECALL_Test","B","read","true"
"659c0682d109f8537a89fdd3",0.525,"Read","","RECALL_Test","B","read","true"
"65a363d4ce498ce15c32367c",0.683333333333333,"Read","","RECALL_Test","B","read","true"
"65b2d8efc8bc0cd290e8c608",0.675,"Read","","RECALL_Test","B","read","true"
"65b4593cebd7ddf2c4c19b4c",0.708333333333333,"Read","","RECALL_Test","B","read","true"
"65b56390cef62311bf6147c9",0.9,"Read","","RECALL_Test","B","read","true"
"65c072fe454cef4b9b1ab25f",0.525,"Read","","RECALL_Test","B","read","true"
"65cc041f70b1949ced29d0dc",0.666666666666667,"Read","","RECALL_Test","B","read","true"
"65dc9a0febc87287cfa3790e",0.841666666666667,"Read","","RECALL_Test","B","read","true"
"65e0f00fbfd8ae75bf44c1ab",0.85,"Read","","RECALL_Test","B","read","true"
"56a930c711926500056e6eed",0.8,"Read","","RECALL_Test","A","read","DRM"
"5ab87be55cd105000161a5a8",0.4,"Read","","RECALL_Test","A","read","DRM"
"5c3e18851580e9000122bdc9",0.7,"Read","","RECALL_Test","A","read","DRM"
"5c617b872026f300018082d1",0.5,"Read","","RECALL_Test","A","read","DRM"
"5cf12ddbf17e370017a278c5",1.1,"Read","","RECALL_Test","A","read","DRM"
"5ea556346fe116549c336fc9",0.7,"Read","","RECALL_Test","A","read","DRM"
"5f3c33aded53341b4d51098a",0.2,"Read","","RECALL_Test","A","read","DRM"
"5fde8fc3c0e40a651914c261",1,"Read","","RECALL_Test","A","read","DRM"
"600283ae7d89ab2946605950",0.6,"Read","","RECALL_Test","A","read","DRM"
"600998fe13039970cc5f3e7d",0.2,"Read","","RECALL_Test","A","read","DRM"
"602bcbe610c7c138a909e6e4",0.1,"Read","","RECALL_Test","A","read","DRM"
"6508f8468c5da4665628b834",0.6,"Read","","RECALL_Test","A","read","DRM"
"652ae31c79fb620c91ac5724",0.2,"Read","","RECALL_Test","A","read","DRM"
"6531340389e363d151089093",0.3,"Read","","RECALL_Test","A","read","DRM"
"655a67b1c4d20ea6c0dc83af",1,"Read","","RECALL_Test","A","read","DRM"
"6583773bb83c230e7271378c",0.4,"Read","","RECALL_Test","A","read","DRM"
"65a5f87383b1a063bbc99efd",0.5,"Read","","RECALL_Test","A","read","DRM"
"65abd3bc01581c2899e80591",0.4,"Read","","RECALL_Test","A","read","DRM"
"65b809f33b743d2d4d56bd08",0.3,"Read","","RECALL_Test","A","read","DRM"
"65de1d31c4db0e1398cdc3c9",0.7,"Read","","RECALL_Test","A","read","DRM"
"56d684fffc7879000c77d87f",0.2,"Read","","RECALL_Test","B","read","DRM"
"5abe9da9a3ba7a0001b46a18",0.1,"Read","","RECALL_Test","B","read","DRM"
"5b0d0beed282ff00015b9972",0.2,"Read","","RECALL_Test","B","read","DRM"
"5f49204552f5c40c486f55fc",1.1,"Read","","RECALL_Test","B","read","DRM"
"5f6e72f4f0d70a3c02af4ee6",0.1,"Read","","RECALL_Test","B","read","DRM"
"652fe805e19cd8c9d83c1456",0.4,"Read","","RECALL_Test","B","read","DRM"
"653001ecaa6552b09aa80c1e",0.3,"Read","","RECALL_Test","B","read","DRM"
"6537f925fee26ff5fdbc8b2f",0.7,"Read","","RECALL_Test","B","read","DRM"
"6543af72769aacc0bf14521e",0.8,"Read","","RECALL_Test","B","read","DRM"
"654a94537255c84744f86451",0.2,"Read","","RECALL_Test","B","read","DRM"
"657de4e312a15c00fa204959",0.6,"Read","","RECALL_Test","B","read","DRM"
"659c0682d109f8537a89fdd3",0.5,"Read","","RECALL_Test","B","read","DRM"
"65a363d4ce498ce15c32367c",0.5,"Read","","RECALL_Test","B","read","DRM"
"65b2d8efc8bc0cd290e8c608",0.2,"Read","","RECALL_Test","B","read","DRM"
"65b4593cebd7ddf2c4c19b4c",0.4,"Read","","RECALL_Test","B","read","DRM"
"65b56390cef62311bf6147c9",0.3,"Read","","RECALL_Test","B","read","DRM"
"65c072fe454cef4b9b1ab25f",0.3,"Read","","RECALL_Test","B","read","DRM"
"65cc041f70b1949ced29d0dc",0.3,"Read","","RECALL_Test","B","read","DRM"
"65dc9a0febc87287cfa3790e",0.1,"Read","","RECALL_Test","B","read","DRM"
"65e0f00fbfd8ae75bf44c1ab",0.2,"Read","","RECALL_Test","B","read","DRM"
