"Username","Stimuli.Answer","Stimuli.Stimuli.Notes","Response.JOL","Direction","Encoding","scored"
"M20315108","Bathroom","Control",NA,"Control","Global_JOL",0
"M20315390_JKL","Bathroom","Control",NA,"Control","Global_JOL",1
"M20322696_MNC","Bathroom","Control",NA,"Control","Global_JOL",1
"M20321343!","Bathroom","Control",NA,"Control","Global_JOL",1
"20322965","Bathroom","Control",NA,"Control","Global_JOL",1
"M20295968","Bathroom","Control",NA,"Control","Global_JOL",1
"M20326622","Bathroom","Control",NA,"Control","Global_JOL",1
"M10356731","Bathroom","Control",NA,"Control","Global_JOL",1
"M20322859","Bathroom","Control",NA,"Control","Global_JOL",1
"M20308397","Bathroom","Control",NA,"Control","Global_JOL",1
"m20327174","Bathroom","Control",NA,"Control","Global_JOL",1
"M20326354_SNC.","Bathroom","Control",NA,"Control","Global_JOL",1
"20322939","Bathroom","Control",NA,"Control","Global_JOL",1
"M20317351","Bathroom","Control",NA,"Control","Global_JOL",1
"M20321748","Bathroom","Control",NA,"Control","Global_JOL",1
"M20330660_MLM","Bathroom","Control",NA,"Control","Global_JOL",1
"M20301881_GM","Bathroom","Control",NA,"Control","Global_JOL",0
"m20320237","Bathroom","Control",NA,"Control","Global_JOL",1
"M20302792","Bathroom","Control",NA,"Control","Global_JOL",1
"M20337010","Bathroom","Control",NA,"Control","Global_JOL",0
"M20316174","Bathroom","Control",NA,"Control","Global_JOL",0
"M20321748","Bean","Control",NA,"Control","Global_JOL",0
"M20302792","Bean","Control",NA,"Control","Global_JOL",1
"20322965","Bean","Control",NA,"Control","Global_JOL",1
"M20321343!","Bean","Control",NA,"Control","Global_JOL",0
"M10356731","Bean","Control",NA,"Control","Global_JOL",1
"M20301881_GM","Bean","Control",NA,"Control","Global_JOL",1
"20322939","Bean","Control",NA,"Control","Global_JOL",1
"M20315390_JKL","Bean","Control",NA,"Control","Global_JOL",1
"m20320237","Bean","Control",NA,"Control","Global_JOL",1
"M20295968","Bean","Control",NA,"Control","Global_JOL",1
"m20327174","Bean","Control",NA,"Control","Global_JOL",1
"M20308397","Bean","Control",NA,"Control","Global_JOL",1
"M20326622","Bean","Control",NA,"Control","Global_JOL",1
"M20326354_SNC.","Bean","Control",NA,"Control","Global_JOL",0
"M20322696_MNC","Bean","Control",NA,"Control","Global_JOL",1
"M20322859","Bean","Control",NA,"Control","Global_JOL",1
"M20316174","Bean","Control",NA,"Control","Global_JOL",0
"M20337010","Bean","Control",NA,"Control","Global_JOL",1
"M20317351","Bean","Control",NA,"Control","Global_JOL",1
"M20315108","Bean","Control",NA,"Control","Global_JOL",1
"M20330660_MLM","Bean","Control",NA,"Control","Global_JOL",1
"M20330660_MLM","Bear","Presented",NA,"Related","Global_JOL",1
"M20315108","Bear","Presented",NA,"Related","Global_JOL",1
"M20315390_JKL","Bear","Presented",NA,"Related","Global_JOL",0
"M20301881_GM","Bear","Presented",NA,"Related","Global_JOL",1
"M20302792","Bear","Presented",NA,"Related","Global_JOL",0
"M20316174","Bear","Presented",NA,"Related","Global_JOL",1
"M20321343!","Bear","Presented",NA,"Related","Global_JOL",0
"M20322696_MNC","Bear","Presented",NA,"Related","Global_JOL",1
"M20326354_SNC.","Bear","Presented",NA,"Related","Global_JOL",0
"20322939","Bear","Presented",NA,"Related","Global_JOL",1
"M20308397","Bear","Presented",NA,"Related","Global_JOL",1
"M20322859","Bear","Presented",NA,"Related","Global_JOL",0
"m20320237","Bear","Presented",NA,"Related","Global_JOL",1
"m20327174","Bear","Presented",NA,"Related","Global_JOL",1
"M20321748","Bear","Presented",NA,"Related","Global_JOL",1
"M10356731","Bear","Presented",NA,"Related","Global_JOL",1
"M20295968","Bear","Presented",NA,"Related","Global_JOL",1
